submission_id,preferred_abc,preferred_a_or_d,preferred_overall
oAVLeP,Coffee C,Coffee A,Coffee C
YZzlPW,Coffee B,Coffee D,Coffee B
zKQ5jM,Coffee B,Coffee A,Coffee B
XeBPJY,Coffee C,Coffee A,Coffee C
kYRB61,Coffee A,Coffee A,Coffee A
zKQ5y0,Coffee C,Coffee A,Coffee C
RzBy5d,Coffee A,Coffee A,Coffee A
ZdRrNy,Coffee A,Coffee D,Coffee D
6dQE7B,Coffee A,Coffee A,Coffee A
0EjRey,Coffee B,Coffee A,Coffee B
QABlDp,Coffee C,Coffee A,Coffee C
24xGB9,Coffee A,Coffee A,Coffee A
EPb7QX,Coffee C,Coffee D,Coffee D
qbE1AY,Coffee C,Coffee D,Coffee D
RzByD9,Coffee B,Coffee A,Coffee B
42NVQY,Coffee B,Coffee D,Coffee B
EPb7XX,Coffee C,Coffee D,Coffee D
Albe2z,Coffee A,Coffee A,Coffee A
PABJ9V,Coffee A,Coffee D,Coffee D
rlrM5R,Coffee A,Coffee D,Coffee D
kYR8Pj,Coffee A,Coffee D,Coffee D
J2kvqK,Coffee C,Coffee A,Coffee C
J2kv1K,Coffee C,Coffee A,Coffee C
PABJpB,Coffee B,Coffee A,Coffee B
EPb7l4,Coffee B,Coffee A,Coffee B
XeBP0j,Coffee C,Coffee A,Coffee C
vNx5Yv,Coffee A,Coffee A,Coffee C
NAB1WB,Coffee A,Coffee D,Coffee D
42NV8k,Coffee A,Coffee D,Coffee D
VZ1OQg,Coffee A,Coffee A,Coffee A
LdMLWj,Coffee B,Coffee A,Coffee B
LdMLKv,Coffee C,Coffee A,Coffee C
zKQ5Ya,Coffee A,Coffee A,Coffee A
pLPpoJ,Coffee C,Coffee D,Coffee C
lNlkqv,Coffee A,Coffee D,Coffee D
GrBO2O,Coffee B,Coffee A,Coffee B
KMBK1A,Coffee A,Coffee D,Coffee D
dY2e9o,Coffee C,Coffee D,Coffee C
9dJjQp,Coffee A,Coffee A,Coffee A
QABl58,Coffee A,Coffee D,Coffee D
BGbWk5,Coffee A,Coffee A,Coffee A
24xGPj,Coffee C,Coffee D,Coffee A
0EjRdB,Coffee B,Coffee A,Coffee B
RzByPd,Coffee A,Coffee D,Coffee D
RzBq9P,Coffee A,Coffee A,Coffee A
PABJ65,Coffee A,Coffee D,Coffee D
oAVLRP,Coffee C,Coffee A,Coffee C
24xGPL,Coffee B,Coffee D,Coffee D
rlr84L,Coffee C,Coffee A,Coffee C
VZ1O0v,Coffee C,Coffee D,Coffee C
8dp4xO,Coffee A,Coffee A,Coffee A
bl4QWL,Coffee B,Coffee D,Coffee D
qbE1a9,Coffee C,Coffee D,Coffee C
VZ1O5J,Coffee A,Coffee A,Coffee A
rlrMPl,Coffee A,Coffee A,Coffee A
EPb7XN,Coffee C,Coffee A,Coffee C
dY2e0o,Coffee A,Coffee D,Coffee D
lNlkyB,Coffee B,Coffee A,Coffee B
BGbJo7,Coffee A,Coffee A,Coffee A
xdN5ay,Coffee B,Coffee D,Coffee D
GrBAdp,Coffee B,Coffee A,Coffee B
BGbWxQ,Coffee C,Coffee A,Coffee C
MAdpzp,Coffee B,Coffee A,Coffee B
RzBy0J,Coffee B,Coffee D,Coffee D
PABJ1e,Coffee B,Coffee A,Coffee B
XeBPWj,Coffee A,Coffee D,Coffee D
g5N6Gl,Coffee B,Coffee D,Coffee D
jB9AZJ,Coffee B,Coffee A,Coffee B
g5N6e4,Coffee A,Coffee D,Coffee D
0Ejq9Q,Coffee A,Coffee D,Coffee D
xdN8EG,Coffee C,Coffee D,Coffee C
zKQ5Da,Coffee A,Coffee A,Coffee A
xdN5Xv,Coffee A,Coffee A,Coffee A
24xGAj,Coffee A,Coffee D,Coffee D
lNl8j5,Coffee B,Coffee A,Coffee B
YZz7Nv,Coffee C,Coffee D,Coffee D
VZ1OEj,Coffee A,Coffee D,Coffee D
oAVLAV,,,
vNx52A,,,
bl4Qlo,Coffee A,Coffee D,Coffee D
PABJ0Q,Coffee B,Coffee A,Coffee B
42NVkO,Coffee B,Coffee A,Coffee B
9dJjdY,Coffee A,Coffee A,Coffee A
WApV0J,Coffee B,Coffee A,Coffee B
1r2oEM,Coffee C,Coffee A,Coffee D
jB9AME,Coffee C,Coffee A,Coffee C
GrBAro,Coffee A,Coffee D,Coffee C
KMBK67,Coffee C,Coffee A,Coffee D
xdN5QG,Coffee B,Coffee D,Coffee D
XeBPe4,Coffee C,Coffee D,Coffee D
8dp4kx,Coffee A,Coffee A,Coffee C
EPb71N,Coffee A,Coffee D,Coffee D
qbE1Wd,Coffee A,Coffee D,Coffee D
eBxWBO,Coffee B,Coffee A,Coffee B
6dQExe,Coffee A,Coffee D,Coffee D
24xGrp,Coffee A,Coffee D,Coffee D
0EjRbQ,Coffee C,Coffee D,Coffee D
5dqP2M,Coffee B,Coffee D,Coffee A
QABlrg,Coffee A,Coffee A,Coffee A
xdN5Qo,Coffee C,Coffee D,Coffee D
MAdpJg,Coffee A,Coffee A,Coffee A
vNx5AQ,Coffee C,Coffee D,Coffee D
YZzldq,Coffee C,Coffee D,Coffee C
RzByYp,Coffee A,Coffee D,Coffee D
zKQ5zq,Coffee B,Coffee D,Coffee B
5dqPkd,Coffee A,Coffee D,Coffee C
dY2eZN,Coffee A,Coffee A,Coffee A
1r2ovO,Coffee C,Coffee D,Coffee D
PABJB0,Coffee B,Coffee D,Coffee C
AlbeDW,Coffee B,Coffee D,Coffee C
GrBA1o,Coffee A,Coffee D,Coffee D
6dQE15,Coffee A,Coffee D,Coffee D
LdMLG1,Coffee A,Coffee D,Coffee D
LdML0G,Coffee B,Coffee A,Coffee C
zKQ5Kq,Coffee B,Coffee A,Coffee B
J2kvJY,Coffee B,Coffee A,Coffee B
rlrMVM,Coffee A,Coffee D,Coffee D
DVv6eb,Coffee C,Coffee D,Coffee D
5dqPdd,Coffee C,Coffee A,Coffee C
RzByLl,Coffee B,Coffee A,Coffee B
5dqPvP,Coffee A,Coffee A,Coffee A
YZzlV0,Coffee B,Coffee D,Coffee D
vNx54A,Coffee A,Coffee D,Coffee D
XeBPG4,Coffee B,Coffee A,Coffee C
jB9ABE,Coffee B,Coffee D,Coffee D
PABJ8P,,,
RzBy4J,Coffee C,Coffee D,Coffee D
jB9AxR,Coffee C,Coffee D,Coffee D
dY2eYA,Coffee C,Coffee D,Coffee D
0EjRJ0,Coffee A,Coffee A,Coffee A
PABJvP,Coffee C,Coffee D,Coffee D
DVv60p,Coffee C,Coffee A,Coffee C
rlrMKv,Coffee B,Coffee A,Coffee B
9dJjJ4,Coffee A,Coffee A,Coffee A
oAVL0M,Coffee A,Coffee D,Coffee D
vNx5Od,Coffee A,Coffee D,Coffee B
QABlYA,Coffee A,Coffee D,Coffee D
24xGkp,Coffee C,Coffee D,Coffee D
7d9roL,Coffee A,Coffee D,Coffee D
lNlkNW,Coffee C,Coffee A,Coffee C
g5N64N,Coffee B,Coffee A,Coffee B
g5N65d,Coffee B,Coffee D,Coffee B
7d9rdA,Coffee C,Coffee D,Coffee D
lNlkL5,Coffee A,Coffee D,Coffee D
rlrMKM,,,
0EjRoQ,Coffee A,Coffee D,Coffee D
GrBA1j,Coffee C,Coffee D,Coffee D
qbE1b7,Coffee B,Coffee A,Coffee B
oAVLVM,Coffee A,Coffee D,Coffee A
RzByRl,Coffee A,Coffee D,Coffee D
g5N6QK,Coffee A,Coffee A,Coffee A
GrBAYz,Coffee A,Coffee A,Coffee A
QABlBk,Coffee B,Coffee D,Coffee B
vNx5NQ,Coffee C,Coffee A,Coffee C
6dQEro,Coffee B,Coffee D,Coffee B
eBxWNo,Coffee B,Coffee A,Coffee B
NAB1MN,Coffee A,Coffee D,Coffee D
dY2eDy,Coffee B,Coffee D,Coffee D
MAdpvE,Coffee B,Coffee D,Coffee D
MAdp5Y,Coffee A,Coffee A,Coffee A
9dJjE1,Coffee A,Coffee A,Coffee A
PABJ20,Coffee A,Coffee A,Coffee A
8dp4eA,Coffee A,Coffee A,Coffee B
DVv65b,Coffee B,Coffee A,Coffee B
qbE1o8,Coffee A,Coffee A,Coffee A
OABMBA,Coffee B,Coffee D,Coffee B
oAVLlM,Coffee A,Coffee A,Coffee A
5dqPEb,Coffee A,Coffee D,Coffee D
6dQEOO,Coffee A,Coffee D,Coffee D
jB9A99,Coffee A,Coffee D,Coffee D
7d9r46,Coffee C,Coffee D,Coffee C
qbE1Yk,Coffee C,Coffee A,Coffee C
pLPpWZ,Coffee C,Coffee D,Coffee D
VZ1Olv,Coffee A,Coffee D,Coffee D
OABMJp,Coffee C,Coffee D,Coffee D
aBrqry,Coffee A,Coffee D,Coffee D
7d9r9z,Coffee B,Coffee D,Coffee D
oAVLl5,Coffee B,Coffee A,Coffee B
aBrqZW,Coffee A,Coffee D,Coffee D
lNlk06,Coffee B,Coffee D,Coffee D
ZdRrGv,Coffee C,Coffee D,Coffee C
xdN5ZG,Coffee A,Coffee D,Coffee D
lNlkYV,Coffee A,Coffee D,Coffee D
VZ1OME,Coffee A,Coffee A,Coffee A
rlrMrL,Coffee B,Coffee A,Coffee B
42NVAd,Coffee A,Coffee D,Coffee D
jB9AJ1,Coffee A,Coffee A,Coffee A
rlrMr5,Coffee A,Coffee A,Coffee A
WApVpQ,Coffee A,Coffee A,Coffee A
ZdRrvA,Coffee A,Coffee D,Coffee D
8dp4dx,Coffee B,Coffee D,Coffee B
vNx5JX,Coffee B,Coffee D,Coffee B
zKQ5e1,Coffee C,Coffee D,Coffee D
lNlkKV,Coffee A,Coffee D,Coffee D
rlrMJX,Coffee C,Coffee D,Coffee D
8dp4PY,Coffee A,Coffee A,Coffee D
LdMLaz,Coffee A,Coffee D,Coffee D
rlrM0L,Coffee A,Coffee A,Coffee A
PABJBd,,,
NAB1Rp,Coffee A,Coffee A,Coffee A
42NV9d,Coffee A,Coffee A,Coffee A
jB9A76,Coffee A,Coffee A,Coffee A
OABMLK,Coffee A,Coffee A,Coffee A
GrBABz,Coffee B,Coffee D,Coffee B
YZzlY6,Coffee A,Coffee D,Coffee D
YZzlo0,Coffee C,Coffee D,Coffee D
g5N671,Coffee A,Coffee D,Coffee D
qbE1k5,Coffee C,Coffee D,Coffee C
7d9r16,Coffee A,Coffee A,Coffee A
24xGkV,Coffee B,Coffee A,Coffee B
BGbWA4,Coffee B,Coffee D,Coffee D
rlrMJp,Coffee A,Coffee D,Coffee D
bl4Qr2,Coffee A,Coffee D,Coffee D
aBrqDE,Coffee C,Coffee A,Coffee D
YZzlrq,Coffee C,Coffee D,Coffee A
VZ1O9l,Coffee A,Coffee D,Coffee D
EPb7Lo,Coffee A,Coffee A,Coffee A
jB9A09,Coffee A,Coffee D,Coffee D
GrBAL2,Coffee A,Coffee D,Coffee D
EPb7Z2,Coffee C,Coffee A,Coffee C
EPb7vA,Coffee C,Coffee D,Coffee D
42NVPo,Coffee C,Coffee D,Coffee D
g5N6JM,Coffee C,Coffee A,Coffee C
9dJj2K,Coffee A,Coffee D,Coffee D
xdN5Rk,Coffee A,Coffee D,Coffee D
24xGvA,Coffee A,Coffee D,Coffee A
AlbeWo,Coffee B,Coffee D,Coffee D
ZdRrza,Coffee C,Coffee D,Coffee D
qbE1Ek,Coffee B,Coffee D,Coffee B
1r2oN4,Coffee B,Coffee A,Coffee B
VZ1ObN,Coffee C,Coffee A,Coffee C
24xGxA,Coffee B,Coffee A,Coffee B
pLPpRy,Coffee B,Coffee D,Coffee D
J2kvk7,Coffee A,Coffee D,Coffee D
oAVL55,Coffee A,Coffee A,Coffee A
lNlkWp,Coffee B,Coffee A,Coffee B
QABl8l,Coffee A,Coffee D,Coffee D
eBxWxo,Coffee A,Coffee D,Coffee D
eBxW2E,Coffee A,Coffee A,Coffee A
rlrMd5,Coffee C,Coffee D,Coffee D
8dp4Ak,Coffee C,Coffee D,Coffee C
RzByvv,Coffee A,Coffee A,Coffee A
rlrM2p,Coffee A,Coffee A,Coffee A
24xG1g,Coffee A,Coffee D,Coffee A
EPb7BL,Coffee C,Coffee D,Coffee D
eBxWKJ,Coffee B,Coffee A,Coffee B
zKQ5J8,Coffee A,Coffee A,Coffee A
ZdRrZ5,Coffee C,Coffee A,Coffee C
1r2o2L,Coffee A,Coffee A,Coffee A
xdN599,Coffee A,Coffee D,Coffee D
YZzlpz,Coffee A,Coffee D,Coffee D
bl4Q82,Coffee A,Coffee A,Coffee C
PABJ80,Coffee A,Coffee D,Coffee A
24xGOb,Coffee C,Coffee A,Coffee A
5dqPGP,Coffee A,Coffee A,Coffee A
bl4Q4E,Coffee A,Coffee D,Coffee D
KMBKBK,Coffee C,Coffee D,Coffee D
DVv6Jj,Coffee A,Coffee D,Coffee D
eBxW7E,Coffee A,Coffee D,Coffee D
GrBAoz,Coffee C,Coffee D,Coffee D
EPb70o,Coffee A,Coffee D,Coffee A
kYRBJd,Coffee A,Coffee D,Coffee D
J2kv2d,Coffee C,Coffee D,Coffee C
OABMdk,Coffee B,Coffee D,Coffee D
LdMLvz,Coffee A,Coffee D,Coffee D
0EjRv0,Coffee B,Coffee A,Coffee B
VZ1OZv,Coffee C,Coffee D,Coffee C
5dqPLM,Coffee A,Coffee D,Coffee D
LdMLXG,Coffee A,Coffee D,Coffee D
RzByZP,Coffee C,Coffee D,Coffee D
42NVvB,Coffee A,Coffee D,Coffee D
GrBAqO,Coffee B,Coffee D,Coffee D
BGbWj4,Coffee B,Coffee D,Coffee A
BGbWB7,Coffee A,Coffee A,Coffee A
ylq5o6,Coffee A,Coffee D,Coffee D
J2kvLJ,Coffee C,Coffee A,Coffee C
42NVjb,Coffee B,Coffee D,Coffee B
bl4Q2E,Coffee A,Coffee D,Coffee D
5dqPev,Coffee B,Coffee D,Coffee B
6dQEvO,Coffee A,Coffee D,Coffee D
jB9ALR,Coffee A,Coffee A,Coffee A
9dJjpK,Coffee C,Coffee A,Coffee C
LdMLE2,Coffee B,Coffee A,Coffee B
xdN54E,Coffee B,Coffee D,Coffee B
J2kvV7,Coffee B,Coffee D,Coffee C
8dp46k,Coffee B,Coffee D,Coffee B
1r2oD4,Coffee B,Coffee D,Coffee B
bl4QK0,Coffee B,Coffee D,Coffee B
DVv6AX,Coffee A,Coffee D,Coffee A
QABlxk,Coffee B,Coffee A,Coffee B
aBrqjy,Coffee A,Coffee D,Coffee D
XeBP1e,Coffee A,Coffee D,Coffee D
qbE1P2,Coffee A,Coffee D,Coffee D
9dJjlG,Coffee A,Coffee D,Coffee D
WApVPJ,Coffee B,Coffee D,Coffee B
jB9A5Y,Coffee A,Coffee A,Coffee A
OABMjA,Coffee A,Coffee A,Coffee A
DVv6V5,Coffee B,Coffee A,Coffee B
XeBPMd,Coffee B,Coffee A,Coffee B
6dQEAo,Coffee A,Coffee A,Coffee A
jB9AG9,Coffee B,Coffee D,Coffee D
pLPpVV,Coffee A,Coffee D,Coffee D
rlrMYo,,,
5dqPpQ,Coffee A,Coffee D,Coffee D
rlrMbN,,,
zKQ51g,Coffee B,Coffee A,Coffee B
7d9rp2,Coffee B,Coffee D,Coffee B
5dqPMQ,Coffee A,Coffee D,Coffee D
9dJjrE,Coffee B,Coffee D,Coffee D
MAdp78,Coffee C,Coffee D,Coffee D
kYRBpo,Coffee C,Coffee A,Coffee C
pLPpz1,Coffee A,Coffee A,Coffee A
KMBKgX,Coffee A,Coffee D,Coffee D
QABlk1,Coffee A,Coffee A,Coffee A
XeBPzz,Coffee A,Coffee A,Coffee A
8dp4gP,,,
PABJ41,Coffee A,Coffee D,Coffee D
QABlO1,Coffee C,Coffee A,Coffee C
RzByjK,Coffee A,Coffee A,Coffee A
kYRBrr,Coffee C,Coffee D,Coffee C
PABJGx,Coffee A,Coffee D,Coffee D
vNx5gl,Coffee C,Coffee D,Coffee A
eBxWzx,Coffee A,Coffee D,Coffee D
WApVZe,Coffee A,Coffee A,Coffee A
Albeae,Coffee C,Coffee A,Coffee C
lNlkMX,Coffee A,Coffee D,Coffee D
OABMVa,Coffee C,Coffee A,Coffee C
XeBP2z,Coffee A,Coffee A,Coffee A
eBxWpl,Coffee B,Coffee A,Coffee B
EPb7gB,Coffee A,Coffee A,Coffee A
RzBy2K,Coffee B,Coffee A,Coffee B
1r2oBg,Coffee A,Coffee D,
GrBAjZ,Coffee B,Coffee A,Coffee A
KMBKaD,Coffee A,Coffee A,Coffee C
ZdRrQV,Coffee C,Coffee A,Coffee C
1r2oRg,Coffee B,Coffee D,Coffee D
kYRBkZ,Coffee B,Coffee A,Coffee B
oAVLzb,Coffee A,Coffee D,Coffee D
aBrqzZ,Coffee B,Coffee D,Coffee B
rlrMvX,Coffee A,Coffee A,Coffee A
EPb76l,Coffee B,Coffee D,Coffee D
24xGDM,Coffee A,Coffee A,Coffee A
7d9rPa,Coffee A,Coffee A,Coffee B
DVv69R,Coffee A,Coffee A,Coffee A
42NVdA,Coffee A,Coffee A,Coffee A
g5N6OP,Coffee B,Coffee D,Coffee D
J2kvZR,Coffee C,Coffee A,Coffee C
RzBylj,Coffee B,Coffee A,Coffee B
qbE1zO,Coffee A,Coffee D,Coffee B
jB9AEQ,Coffee A,Coffee A,Coffee A
xdN5ov,Coffee C,Coffee D,Coffee D
9dJja5,Coffee B,Coffee A,Coffee B
EPb7N2,Coffee C,Coffee A,Coffee C
kYRBQe,Coffee A,Coffee A,Coffee A
24xGVD,Coffee C,Coffee D,Coffee C
VZ1O46,Coffee A,Coffee A,Coffee A
PABJee,Coffee B,Coffee A,Coffee B
eBxWYQ,Coffee C,Coffee A,Coffee C
qbE1NO,Coffee B,Coffee A,Coffee B
oAVLaP,Coffee A,Coffee D,Coffee D
LdMLgl,Coffee A,Coffee A,Coffee A
ylq5zd,Coffee C,Coffee D,Coffee D
NAB1EO,Coffee A,Coffee D,Coffee C
7d9rj0,Coffee C,Coffee A,Coffee C
ZdRrKB,Coffee A,Coffee A,Coffee A
xdN56d,Coffee A,Coffee A,Coffee A
rlrMg2,Coffee B,Coffee D,Coffee B
qbE1pg,Coffee C,Coffee A,Coffee C
pLPpXJ,Coffee A,Coffee A,Coffee A
xdN5vk,Coffee B,Coffee A,Coffee B
vNx5a0,Coffee A,Coffee A,Coffee A
LdML6J,Coffee B,Coffee A,Coffee A
bl4QML,Coffee B,Coffee D,Coffee B
6dQEyJ,Coffee A,Coffee A,Coffee A
xdN5L5,Coffee A,Coffee D,Coffee D
OABMra,Coffee B,Coffee D,Coffee B
jB9AgQ,Coffee B,Coffee D,Coffee B
EPb7AB,Coffee A,Coffee A,Coffee A
GrBAQO,Coffee A,Coffee A,Coffee A
lNlk9v,Coffee C,Coffee D,Coffee D
eBxWox,Coffee C,Coffee A,Coffee C
VZ1OyM,Coffee B,Coffee D,Coffee B
KMBKNV,Coffee B,Coffee A,Coffee B
OABMyY,Coffee A,Coffee A,Coffee D
WApVjR,Coffee C,Coffee D,Coffee D
OABMKR,Coffee B,Coffee D,Coffee B
YZzlyW,Coffee A,Coffee A,Coffee D
BGbWVK,Coffee C,Coffee A,Coffee C
XeBPyL,Coffee B,Coffee D,Coffee B
VZ1OBg,Coffee C,Coffee D,Coffee D
1r2ox1,Coffee C,Coffee A,Coffee C
LdMLVl,Coffee C,Coffee D,Coffee B
oAVLQO,Coffee C,Coffee D,Coffee C
pLPpNJ,Coffee A,Coffee D,Coffee D
eBxWPk,Coffee C,Coffee A,Coffee C
VZ1Oxj,Coffee C,Coffee D,Coffee C
zKQ54R,Coffee A,Coffee D,Coffee D
Albeyl,Coffee B,Coffee D,Coffee B
eBxWyl,Coffee A,Coffee A,Coffee A
rlrM1R,Coffee B,Coffee A,Coffee B
24xGZD,Coffee A,Coffee D,Coffee D
VZ1Oyy,Coffee C,Coffee D,Coffee C
XeBPdg,Coffee A,Coffee D,Coffee D
rlrMRN,Coffee C,Coffee A,Coffee C
6dQEGk,Coffee C,Coffee A,Coffee C
EPb7YB,Coffee B,Coffee D,Coffee B
7d9rEa,Coffee C,Coffee A,Coffee C
ylq5Rx,Coffee A,Coffee A,Coffee A
MAdpgk,Coffee A,Coffee A,Coffee A
g5N6vJ,Coffee A,Coffee D,Coffee D
0EjRlB,Coffee C,Coffee A,Coffee C
9dJjPQ,Coffee A,Coffee D,Coffee D
AlbeND,Coffee A,Coffee D,Coffee D
OABMkM,Coffee A,Coffee D,Coffee D
zKQ5dk,Coffee B,Coffee A,Coffee B
7d9rgR,Coffee B,Coffee D,Coffee D
vNx5pl,Coffee C,Coffee D,Coffee D
EPb7e4,Coffee B,Coffee D,Coffee A
DVv6PZ,Coffee C,Coffee A,Coffee C
MAdpPk,Coffee B,Coffee D,Coffee B
ylq5rg,Coffee C,Coffee D,Coffee C
24xG7M,Coffee A,Coffee A,Coffee A
bl4Qz6,Coffee C,Coffee A,Coffee C
6dQE9Y,Coffee A,Coffee A,Coffee A
eBxWvQ,Coffee A,Coffee A,Coffee A
ZdRrXo,Coffee C,Coffee D,Coffee A
24xGy9,Coffee A,Coffee A,Coffee A
xdN57r,Coffee B,Coffee D,Coffee B
lNlkXk,Coffee B,Coffee D,Coffee D
9dJjyV,Coffee C,Coffee D,Coffee D
RzBy19,Coffee A,Coffee D,Coffee D
J2kvgK,Coffee B,Coffee D,Coffee D
J2kvbo,Coffee A,Coffee A,Coffee A
DVv6ZE,Coffee A,Coffee D,Coffee D
aBrq1B,Coffee C,Coffee D,Coffee C
XeBPvY,Coffee B,Coffee A,Coffee B
ZdRrAo,Coffee B,Coffee D,Coffee D
NAB1O0,Coffee A,Coffee D,Coffee D
J2kvBr,Coffee A,Coffee D,Coffee D
ylq5px,Coffee C,Coffee A,Coffee C
KMBKRg,Coffee C,Coffee A,Coffee C
OABMyg,Coffee A,Coffee D,Coffee D
oAVLax,Coffee A,Coffee A,Coffee A
VZ1OXg,Coffee C,Coffee D,Coffee D
WApVdv,Coffee A,Coffee D,Coffee D
aBrqXB,Coffee C,Coffee D,Coffee C
EPb7rr,Coffee A,Coffee A,Coffee A
NAB1gO,Coffee A,Coffee A,Coffee A
XeBPkY,Coffee C,Coffee D,Coffee C
vNx5Wg,Coffee A,Coffee D,Coffee D
LdMLOy,Coffee A,Coffee A,Coffee A
aBrqa2,Coffee B,Coffee D,Coffee D
WApVXN,Coffee A,Coffee D,Coffee D
OABMeg,Coffee A,Coffee A,Coffee A
NAB1xl,Coffee B,Coffee D,Coffee D
dY2ekV,Coffee C,Coffee A,Coffee D
LdMLBv,Coffee C,Coffee D,Coffee C
Albe0e,Coffee C,Coffee A,Coffee C
eBxW8e,Coffee A,Coffee D,Coffee D
8dp4V5,Coffee A,Coffee D,Coffee D
1r2ozp,Coffee A,Coffee D,Coffee D
DVv6al,Coffee A,Coffee D,Coffee D
QABl4Y,Coffee A,Coffee A,Coffee A
DVv6EZ,Coffee A,Coffee D,Coffee D
J2kvxR,Coffee B,Coffee D,Coffee B
eBxWGe,Coffee C,Coffee D,Coffee D
KMBKA8,Coffee A,Coffee D,Coffee C
DVv6Wl,Coffee A,Coffee A,Coffee A
QABlyG,Coffee A,Coffee D,Coffee D
pLPp58,Coffee B,Coffee D,Coffee D
VZ1Oqj,Coffee A,Coffee D,Coffee D
XeBPNP,Coffee C,Coffee D,Coffee C
jB9Aq4,Coffee A,Coffee D,Coffee D
qbE1M9,Coffee B,Coffee A,Coffee B
5dqPON,Coffee C,Coffee D,Coffee D
rlrMW2,Coffee A,Coffee D,Coffee D
dY2ezr,Coffee B,Coffee D,Coffee D
oAVLgb,Coffee A,Coffee A,Coffee A
GrBAaZ,Coffee A,Coffee A,Coffee A
7d9rOZ,Coffee C,Coffee D,Coffee C
kYRB1e,Coffee B,Coffee A,Coffee B
24xGzj,Coffee A,Coffee D,Coffee D
XeBPQP,Coffee A,Coffee A,Coffee A
9dJj4E,Coffee A,Coffee A,Coffee A
MAdpqA,Coffee B,Coffee D,Coffee D
AlbeOz,Coffee B,Coffee D,Coffee A
NAB1Qj,Coffee B,Coffee A,Coffee B
GrBA5O,Coffee C,Coffee A,Coffee D
24xGYj,Coffee A,Coffee D,Coffee D
kYRBXR,Coffee C,Coffee D,Coffee D
WApV6N,Coffee B,Coffee D,Coffee D
dY2eXo,Coffee C,Coffee D,Coffee D
QABlp7,Coffee A,Coffee D,Coffee D
ylq5GX,Coffee C,Coffee D,Coffee C
EPb7Al,Coffee A,Coffee A,Coffee A
42NVEA,Coffee B,Coffee A,Coffee B
aBrqgb,Coffee C,Coffee D,Coffee C
42NVYX,Coffee C,Coffee A,Coffee C
oAVL1x,Coffee B,Coffee D,Coffee D
KMBKZV,Coffee B,Coffee A,Coffee B
1r2oyl,Coffee A,Coffee A,Coffee A
42NVEr,Coffee C,Coffee D,Coffee D
g5N614,Coffee B,Coffee A,Coffee B
0EjRyj,Coffee C,Coffee A,Coffee C
6dQEzJ,Coffee B,Coffee D,Coffee B
jB9Ara,Coffee B,Coffee D,Coffee D
dY2e4K,Coffee C,Coffee D,Coffee C
zKQ5vM,Coffee A,Coffee D,Coffee D
YZzlgW,Coffee B,Coffee D,Coffee D
pLPpZ1,Coffee C,Coffee D,Coffee C
J2kvro,Coffee A,Coffee A,Coffee A
xdN5B5,Coffee C,Coffee D,Coffee C
rlrMp2,Coffee A,Coffee A,Coffee A
QABlWG,Coffee A,Coffee D,Coffee D
vNx5d4,Coffee A,Coffee D,Coffee D
jB9AzQ,Coffee B,Coffee A,Coffee B
MAdp2M,Coffee C,Coffee D,Coffee C
7d9rYZ,Coffee A,Coffee A,Coffee A
g5N6XO,Coffee A,Coffee A,Coffee A
PABJr1,Coffee C,Coffee D,Coffee D
RzByg4,Coffee A,Coffee A,Coffee A
MAdpGl,Coffee B,Coffee A,Coffee B
g5N6rD,Coffee B,Coffee A,Coffee B
RzByaj,Coffee B,Coffee A,Coffee B
PABJLV,Coffee A,Coffee D,Coffee A
GrBA4k,Coffee B,Coffee A,Coffee B
zKQ5o0,Coffee A,Coffee D,Coffee D
dY2eyA,,,
GrBAOp,Coffee B,Coffee A,Coffee B
qbE1QY,Coffee C,Coffee D,Coffee D
9dJj0p,Coffee B,Coffee D,Coffee B
EPb77N,Coffee A,Coffee A,Coffee D
YZzlbB,Coffee A,Coffee D,Coffee D
Albeek,Coffee C,Coffee D,Coffee C
WApV7a,Coffee C,Coffee D,Coffee C
kYRBPM,Coffee A,Coffee A,Coffee A
GrBAAo,Coffee A,Coffee D,Coffee D
rlrMMl,Coffee A,Coffee A,Coffee A
VZ1Oag,Coffee A,Coffee A,Coffee A
5dqPa6,Coffee A,Coffee D,Coffee D
J2kvj4,Coffee A,Coffee D,Coffee D
XeBPAj,Coffee C,Coffee A,Coffee C
24xGdL,Coffee C,Coffee A,Coffee C
qbE117,Coffee A,Coffee D,Coffee D
42NVVk,Coffee A,Coffee A,Coffee A
5dqPYo,Coffee A,Coffee D,Coffee D
J2kv4d,Coffee A,Coffee D,Coffee D
EPb7VX,Coffee B,Coffee D,Coffee D
LdMLxj,Coffee A,Coffee D,Coffee D
1r2o0Q,Coffee A,Coffee A,Coffee A
bl4QJo,Coffee A,Coffee D,Coffee D
42NV6b,Coffee A,Coffee A,Coffee A
aBrqJv,Coffee A,Coffee A,Coffee A
OABMM7,Coffee A,Coffee D,Coffee D
42NVMb,Coffee A,Coffee D,Coffee D
WApVaj,Coffee A,Coffee D,Coffee D
RzByQ9,Coffee A,Coffee D,Coffee D
OABMM8,Coffee C,Coffee D,Coffee D
42NVlk,Coffee C,Coffee D,Coffee D
XeBP6j,Coffee A,Coffee A,Coffee C
WApVLJ,Coffee C,Coffee D,Coffee C
eBxWWO,Coffee C,Coffee D,Coffee D
PABJqb,Coffee C,Coffee D,Coffee C
6dQEBB,Coffee A,Coffee D,Coffee D
GrBAEp,Coffee C,Coffee D,Coffee D
xdN5qo,Coffee A,Coffee A,Coffee A
