submission_id,age,gender,gender_specify,education_level,ethnicity_race,ethnicity_race_specify,employment_status,number_children,political_affiliation,work_from_home
OABxWM,25-34 years old,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work in person
xdN5Yy,25-34 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
AlbMYB,25-34 years old,Male,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,,Democrat,I do a mix of both
ylq5Jg,25-34 years old,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,,Democrat,I do a mix of both
VZ1WRj,18-24 years old,Prefer not to say,,Some college or associate's degree,White/Caucasian,,Employed full-time,,No affiliation,I primarily work from home
jB9Ala,35-44 years old,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,,Independent,I primarily work from home
YZzl4B,18-24 years old,,,,,,,,,I primarily work from home
J2kvz4,25-34 years old,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
oAV8W5,45-54 years old,Female,,Master's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work in person
oAVLGe,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I do a mix of both
KMBKlA,18-24 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
6dQEDY,25-34 years old,Male,,Master's degree,Hispanic/Latino,,Employed full-time,,Democrat,I do a mix of both
1r2o7Q,25-34 years old,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work in person
1r2oVQ,25-34 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
0EjR8y,25-34 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
LdMLzp,25-34 years old,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,,,I primarily work from home
LdML7p,35-44 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,,Democrat,I do a mix of both
jB9Ab4,25-34 years old,Female,,Master's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work in person
aBrq4B,25-34 years old,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,,,I primarily work from home
DVv6Nq,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I do a mix of both
DVv6pR,18-24 years old,Male,,High school graduate,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
rlrMON,25-34 years old,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
g5N6Ml,25-34 years old,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,,Democrat,I do a mix of both
NAB1oB,35-44 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,1,Democrat,I do a mix of both
VZ1Ojy,25-34 years old,Male,,Doctorate or professional degree,White/Caucasian,,Student,,Independent,I primarily work from home
dY2exq,25-34 years old,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,,Democrat,I do a mix of both
RzByo9,25-34 years old,Male,,Master's degree,Asian/Pacific Islander,,Student,,No affiliation,I do a mix of both
rlrMoN,25-34 years old,,,,,,,,,
XeBP4g,25-34 years old,Female,,,,,,,,I do a mix of both
DVv6qN,>65 years old,,,,,,,,,
vNx5P0,35-44 years old,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,2,Democrat,I primarily work from home
6dQEZk,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I do a mix of both
qbE1d7,18-24 years old,,,,,,,,,
bl4QeL,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
PABJ55,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,No affiliation,I primarily work from home
aBrq9b,45-54 years old,Male,,Doctorate or professional degree,White/Caucasian,,Retired,2,Independent,I primarily work from home
LdMLPv,25-34 years old,Female,,Some college or associate's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work in person
qbE1VY,18-24 years old,Male,,Some college or associate's degree,White/Caucasian,,Student,,Independent,
oAVLEx,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Independent,I primarily work in person
PABJ1V,25-34 years old,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,,Democrat,I do a mix of both
0EjR6N,25-34 years old,Female,,Doctorate or professional degree,White/Caucasian,,Employed full-time,,Republican,I primarily work in person
BGbW75,>65 years old,Male,,Bachelor's degree,White/Caucasian,,Retired,1,No affiliation,I primarily work from home
8dp4L5,25-34 years old,Male,,Bachelor's degree,Other (please specify),Asian White Mix,Employed full-time,,Democrat,I do a mix of both
GrBARZ,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Unemployed,,No affiliation,I primarily work from home
rlrMBR,25-34 years old,Male,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,,Democrat,I primarily work from home
J2kEvY,25-34 years old,,,,,,,,,
GrBAve,18-24 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work in person
g5N6qO,18-24 years old,Female,,Bachelor's degree,Hispanic/Latino,,Employed full-time,,Independent,I primarily work in person
J2kvOo,35-44 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,2,Independent,I do a mix of both
GrBAlp,35-44 years old,Non-binary,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
7d9r2P,25-34 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,,,I primarily work from home
1r2odl,18-24 years old,Male,,Some college or associate's degree,White/Caucasian,,Student,,Democrat,I primarily work in person
J2kvdR,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Independent,I primarily work from home
jB9APx,25-34 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
DVv6kZ,18-24 years old,Male,,Some college or associate's degree,Hispanic/Latino,,Employed part-time,,Democrat,I primarily work in person
xdN8Ok,25-34 years old,Female,,Master's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
NAB1qO,35-44 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
GrBA9Z,35-44 years old,Non-binary,,Bachelor's degree,White/Caucasian,,Employed full-time,1,Independent,I primarily work from home
bl4Qdg,25-34 years old,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
5dqPZo,25-34 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,,Democrat,I do a mix of both
J2kEyz,35-44 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I do a mix of both
jB98j9,25-34 years old,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I do a mix of both
DVv67R,35-44 years old,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,,Democrat,I do a mix of both
QABlV8,35-44 years old,Non-binary,,Master's degree,Other (please specify),Asian/white biracial,Employed full-time,,No affiliation,I primarily work from home
LdMLpj,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Independent,I do a mix of both
42NVrX,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,1,Republican,I primarily work from home
VZ1OpM,18-24 years old,Male,,Bachelor's degree,White/Caucasian,,Student,,Independent,I primarily work in person
42NlWr,18-24 years old,Female,,Bachelor's degree,Asian/Pacific Islander,,Student,,Democrat,I do a mix of both
KMBKV8,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I do a mix of both
aBrq6q,18-24 years old,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work in person
oAVLeP,35-44 years old,,,,,,,,,
YZzlPW,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,No affiliation,I primarily work from home
zKQ5jM,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Independent,I primarily work from home
XeBPJY,35-44 years old,Male,,Some college or associate's degree,Hispanic/Latino,,Employed full-time,,No affiliation,I primarily work from home
kYRB61,25-34 years old,Male,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,,Democrat,I primarily work in person
zKQ5y0,35-44 years old,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,,No affiliation,I primarily work from home
RzBy5d,25-34 years old,Male,,Some college or associate's degree,White/Caucasian,,Employed part-time,,Independent,I primarily work from home
ZdRrNy,25-34 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,,Republican,I primarily work from home
6dQE7B,25-34 years old,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,1,Democrat,I primarily work from home
0EjRey,25-34 years old,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work in person
QABlDp,25-34 years old,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
24xGB9,18-24 years old,Male,,Bachelor's degree,White/Caucasian,,Student,,No affiliation,I primarily work in person
EPb7QX,45-54 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
qbE1AY,<18 years old,Male,,Less than high school,White/Caucasian,,Student,,Republican,I primarily work in person
RzByD9,55-64 years old,Male,,Master's degree,White/Caucasian,,Retired,,Democrat,I primarily work from home
42NVQY,45-54 years old,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,2,Democrat,I primarily work from home
EPb7XX,25-34 years old,Non-binary,,Bachelor's degree,White/Caucasian,,Employed part-time,,No affiliation,I primarily work in person
Albe2z,25-34 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,,No affiliation,I primarily work from home
PABJ9V,45-54 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,1,Independent,I primarily work from home
rlrM5R,18-24 years old,Non-binary,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work in person
kYR8Pj,25-34 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,,Democrat,I do a mix of both
J2kvqK,18-24 years old,Female,,High school graduate,Asian/Pacific Islander,,Student,,Democrat,I do a mix of both
J2kv1K,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,1,Democrat,I primarily work in person
PABJpB,25-34 years old,Male,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,,Independent,I do a mix of both
EPb7l4,45-54 years old,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,1,Democrat,I do a mix of both
XeBP0j,25-34 years old,Male,,Master's degree,Hispanic/Latino,,Employed full-time,,Democrat,I primarily work in person
vNx5Yv,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,More than 3,No affiliation,I primarily work from home
NAB1WB,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work in person
42NV8k,35-44 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,2,No affiliation,I do a mix of both
VZ1OQg,25-34 years old,Non-binary,,Bachelor's degree,Hispanic/Latino,,Employed full-time,,Democrat,I primarily work from home
LdMLWj,35-44 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,,Republican,I primarily work from home
LdMLKv,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I do a mix of both
zKQ5Ya,25-34 years old,Female,,Master's degree,White/Caucasian,,Employed full-time,,Democrat,I do a mix of both
pLPpoJ,35-44 years old,Male,,Bachelor's degree,White/Caucasian,,Employed part-time,2,Democrat,I primarily work from home
lNlkqv,25-34 years old,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
GrBO2O,25-34 years old,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,,Independent,I do a mix of both
KMBK1A,35-44 years old,Female,,Master's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
dY2e9o,25-34 years old,Male,,,White/Caucasian,,,,Democrat,I primarily work from home
9dJjQp,45-54 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
QABl58,25-34 years old,Male,,Bachelor's degree,Hispanic/Latino,,Employed full-time,,Democrat,I do a mix of both
BGbWk5,25-34 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,2,Independent,I primarily work in person
24xGPj,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,No affiliation,I primarily work from home
0EjRdB,18-24 years old,Male,,Bachelor's degree,Hispanic/Latino,,Employed full-time,,Democrat,I primarily work in person
RzByPd,25-34 years old,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,,No affiliation,I primarily work in person
RzBq9P,55-64 years old,Male,,Bachelor's degree,White/Caucasian,,Retired,2,Republican,I do a mix of both
PABJ65,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,No affiliation,I primarily work in person
oAVLRP,25-34 years old,Non-binary,,Bachelor's degree,White/Caucasian,,Employed full-time,,Independent,I primarily work from home
24xGPL,25-34 years old,Male,,High school graduate,White/Caucasian,,Employed full-time,,Independent,I primarily work in person
rlr84L,25-34 years old,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,,No affiliation,I do a mix of both
VZ1O0v,25-34 years old,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,1,Independent,I primarily work from home
8dp4xO,45-54 years old,,,,,,,,,I primarily work from home
bl4QWL,25-34 years old,Non-binary,,Master's degree,White/Caucasian,,Employed full-time,,No affiliation,I primarily work from home
qbE1a9,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed part-time,,Independent,I primarily work from home
VZ1O5J,45-54 years old,Female,,Master's degree,White/Caucasian,,Employed full-time,3,Independent,I primarily work in person
rlrMPl,25-34 years old,Female,,Bachelor's degree,White/Caucasian,,Homemaker,2,No affiliation,I primarily work from home
EPb7XN,55-64 years old,Female,,Master's degree,White/Caucasian,,Employed full-time,,Independent,I primarily work from home
dY2e0o,18-24 years old,Male,,Some college or associate's degree,White/Caucasian,,Student,,Independent,I primarily work from home
lNlkyB,18-24 years old,Male,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,,No affiliation,I do a mix of both
BGbJo7,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Republican,I do a mix of both
xdN5ay,35-44 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,2,Democrat,I primarily work from home
GrBAdp,25-34 years old,Female,,Master's degree,White/Caucasian,,Employed full-time,,,I do a mix of both
BGbWxQ,35-44 years old,Female,,Master's degree,White/Caucasian,,Employed full-time,2,Independent,I primarily work in person
MAdpzp,35-44 years old,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,2,Democrat,I primarily work from home
RzBy0J,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,No affiliation,I do a mix of both
PABJ1e,25-34 years old,Male,,Bachelor's degree,Hispanic/Latino,,Employed full-time,,No affiliation,I primarily work in person
XeBPWj,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,No affiliation,I primarily work from home
g5N6Gl,35-44 years old,Male,,High school graduate,White/Caucasian,,Employed part-time,,Democrat,I do a mix of both
jB9AZJ,18-24 years old,Female,,Bachelor's degree,Asian/Pacific Islander,,Student,,Democrat,I do a mix of both
g5N6e4,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I do a mix of both
0Ejq9Q,35-44 years old,Male,,High school graduate,White/Caucasian,,Employed full-time,1,No affiliation,I primarily work from home
xdN8EG,25-34 years old,Male,,,,,,,,I primarily work in person
zKQ5Da,18-24 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Independent,I primarily work from home
xdN5Xv,25-34 years old,Male,,Bachelor's degree,Other (please specify),Egyptian,Employed full-time,1,Democrat,I primarily work from home
24xGAj,25-34 years old,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
lNl8j5,25-34 years old,Male,,Master's degree,White/Caucasian,,Student,,Democrat,I do a mix of both
YZz7Nv,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,2,Independent,I primarily work from home
VZ1OEj,35-44 years old,Male,,Bachelor's degree,White/Caucasian,,Retired,,No affiliation,I primarily work from home
oAVLAV,,,,,,,,,,
vNx52A,,,,,,,,,,
bl4Qlo,35-44 years old,Male,,,,,,,,I primarily work from home
PABJ0Q,18-24 years old,,,,,,,,,I do a mix of both
42NVkO,35-44 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I do a mix of both
9dJjdY,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,2,Democrat,I primarily work from home
WApV0J,18-24 years old,Male,,Bachelor's degree,Hispanic/Latino,,Employed full-time,,Democrat,I do a mix of both
1r2oEM,45-54 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,3,No affiliation,I primarily work from home
jB9AME,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,No affiliation,I primarily work from home
GrBAro,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,No affiliation,I primarily work from home
KMBK67,25-34 years old,Female,,Master's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
xdN5QG,25-34 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
XeBPe4,25-34 years old,Male,,High school graduate,White/Caucasian,,Employed full-time,1,Democrat,I primarily work from home
8dp4kx,18-24 years old,Female,,Bachelor's degree,White/Caucasian,,Student,,Independent,I primarily work in person
EPb71N,45-54 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,1,Democrat,I primarily work from home
qbE1Wd,25-34 years old,,,,,,,,,
eBxWBO,45-54 years old,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work in person
6dQExe,35-44 years old,Male,,Master's degree,Other (please specify),Asian/White,Employed full-time,,Democrat,I primarily work from home
24xGrp,25-34 years old,Male,,Bachelor's degree,Hispanic/Latino,,Employed full-time,,Democrat,I do a mix of both
0EjRbQ,25-34 years old,,,,,,,,,
5dqP2M,25-34 years old,Male,,Bachelor's degree,Native American/Alaska Native,,Unemployed,,No affiliation,I primarily work from home
QABlrg,25-34 years old,Male,,Doctorate or professional degree,Asian/Pacific Islander,,Employed full-time,,No affiliation,I do a mix of both
xdN5Qo,25-34 years old,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
MAdpJg,25-34 years old,,,,,,,,,
vNx5AQ,18-24 years old,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work in person
YZzldq,18-24 years old,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,,Republican,I primarily work in person
RzByYp,18-24 years old,,,,,,,,,
zKQ5zq,18-24 years old,Male,,Bachelor's degree,Asian/Pacific Islander,,Unemployed,,Democrat,I primarily work from home
5dqPkd,35-44 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Independent,I primarily work from home
dY2eZN,25-34 years old,,,,,,,,,
1r2ovO,25-34 years old,Female,,Master's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work in person
PABJB0,25-34 years old,Female,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,,No affiliation,I primarily work from home
AlbeDW,25-34 years old,Non-binary,,Master's degree,White/Caucasian,,Employed full-time,,Democrat,I do a mix of both
GrBA1o,35-44 years old,Male,,Master's degree,Asian/Pacific Islander,,Employed full-time,,No affiliation,I do a mix of both
6dQE15,25-34 years old,Male,,Bachelor's degree,Other (please specify),"Half white, half south asian",Employed full-time,,Democrat,I primarily work from home
LdMLG1,25-34 years old,Male,,Doctorate or professional degree,White/Caucasian,,Student,,Democrat,I do a mix of both
LdML0G,25-34 years old,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
zKQ5Kq,25-34 years old,Male,,Master's degree,White/Caucasian,,Employed part-time,,Republican,I primarily work in person
J2kvJY,35-44 years old,Female,,Master's degree,White/Caucasian,,Homemaker,2,Democrat,
rlrMVM,18-24 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work in person
DVv6eb,18-24 years old,Male,,Bachelor's degree,White/Caucasian,,Student,,No affiliation,I do a mix of both
5dqPdd,35-44 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,1,Democrat,I do a mix of both
RzByLl,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I do a mix of both
5dqPvP,25-34 years old,Male,,Doctorate or professional degree,Asian/Pacific Islander,,Employed full-time,,No affiliation,I primarily work from home
YZzlV0,18-24 years old,Male,,Master's degree,White/Caucasian,,Student,,No affiliation,I primarily work in person
vNx54A,18-24 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,No affiliation,I do a mix of both
XeBPG4,>65 years old,,,,,,,,,
jB9ABE,25-34 years old,Male,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,,Democrat,I primarily work in person
PABJ8P,35-44 years old,,,,,,,,,
RzBy4J,>65 years old,Male,,Doctorate or professional degree,Native American/Alaska Native,,Employed full-time,3,Democrat,I primarily work in person
jB9AxR,18-24 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,,Independent,I primarily work from home
dY2eYA,25-34 years old,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work in person
0EjRJ0,25-34 years old,Male,,Master's degree,Hispanic/Latino,,Employed full-time,1,Democrat,I primarily work in person
PABJvP,25-34 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
DVv60p,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
rlrMKv,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I do a mix of both
9dJjJ4,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,,I primarily work from home
oAVL0M,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
vNx5Od,18-24 years old,Male,,High school graduate,White/Caucasian,,Employed full-time,,Democrat,I do a mix of both
QABlYA,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,No affiliation,I do a mix of both
24xGkp,35-44 years old,,,,,,,,,I primarily work from home
7d9roL,25-34 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work in person
lNlkNW,25-34 years old,Male,,High school graduate,White/Caucasian,,Unemployed,,Independent,I do a mix of both
g5N64N,18-24 years old,Male,,,Other (please specify),White and Taiwanese,,,Democrat,I do a mix of both
g5N65d,35-44 years old,Female,,Master's degree,White/Caucasian,,Homemaker,,Democrat,I primarily work from home
7d9rdA,25-34 years old,Non-binary,,Bachelor's degree,White/Caucasian,,Employed full-time,,Independent,I primarily work from home
lNlkL5,18-24 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
rlrMKM,35-44 years old,,,,,,,,,
0EjRoQ,25-34 years old,Male,,Bachelor's degree,Hispanic/Latino,,Employed full-time,,Democrat,I do a mix of both
GrBA1j,18-24 years old,,,,,,,,,I primarily work in person
qbE1b7,18-24 years old,Male,,Some college or associate's degree,White/Caucasian,,Employed part-time,,Democrat,I do a mix of both
oAVLVM,25-34 years old,Male,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,,No affiliation,I primarily work from home
RzByRl,45-54 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,No affiliation,I primarily work from home
g5N6QK,18-24 years old,Female,,Bachelor's degree,White/Caucasian,,Student,,No affiliation,I do a mix of both
GrBAYz,35-44 years old,,,,,,,,,
QABlBk,35-44 years old,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,,Independent,I primarily work in person
vNx5NQ,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
6dQEro,18-24 years old,Male,,Bachelor's degree,White/Caucasian,,Student,,Democrat,I primarily work in person
eBxWNo,35-44 years old,Female,,,White/Caucasian,,Employed full-time,,Democrat,I primarily work in person
NAB1MN,25-34 years old,Male,,,,,,,,I primarily work from home
dY2eDy,25-34 years old,Male,,Some college or associate's degree,,,,,,I primarily work in person
MAdpvE,25-34 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,,Independent,I primarily work from home
MAdp5Y,25-34 years old,Male,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,,Independent,I primarily work from home
9dJjE1,25-34 years old,Male,,Doctorate or professional degree,White/Caucasian,,Employed part-time,,Democrat,I do a mix of both
PABJ20,25-34 years old,Female,,Master's degree,White/Caucasian,,Employed full-time,,Independent,I primarily work in person
8dp4eA,25-34 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work in person
DVv65b,55-64 years old,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,1,Democrat,I primarily work from home
qbE1o8,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,No affiliation,I primarily work in person
OABMBA,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,No affiliation,I primarily work in person
oAVLlM,55-64 years old,Male,,Some college or associate's degree,Hispanic/Latino,,Retired,2,Independent,I primarily work from home
5dqPEb,25-34 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,,Independent,I do a mix of both
6dQEOO,45-54 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,,I primarily work from home
jB9A99,35-44 years old,Male,,Bachelor's degree,Black/African American,,Employed full-time,,No affiliation,I primarily work from home
7d9r46,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Independent,I primarily work from home
qbE1Yk,25-34 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,,No affiliation,I primarily work from home
pLPpWZ,25-34 years old,Male,,Some college or associate's degree,White/Caucasian,,Employed part-time,1,Independent,I primarily work in person
VZ1Olv,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Republican,I primarily work from home
OABMJp,18-24 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Republican,I do a mix of both
aBrqry,25-34 years old,Non-binary,,Bachelor's degree,White/Caucasian,,Employed full-time,,No affiliation,I primarily work from home
7d9r9z,35-44 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,2,Democrat,I primarily work from home
oAVLl5,25-34 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,,Independent,I primarily work from home
aBrqZW,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
lNlk06,25-34 years old,Male,,Some college or associate's degree,White/Caucasian,,Retired,,No affiliation,I primarily work from home
ZdRrGv,25-34 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,,Democrat,I do a mix of both
xdN5ZG,25-34 years old,Male,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,,Democrat,I do a mix of both
lNlkYV,25-34 years old,Male,,Master's degree,Hispanic/Latino,,Employed full-time,,Democrat,I do a mix of both
VZ1OME,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
rlrMrL,25-34 years old,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
42NVAd,25-34 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,,Independent,I primarily work from home
jB9AJ1,25-34 years old,Female,,Master's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work in person
rlrMr5,25-34 years old,Male,,Master's degree,Asian/Pacific Islander,,Student,,Democrat,I do a mix of both
WApVpQ,25-34 years old,,,Some college or associate's degree,Other (please specify),,,,,
ZdRrvA,18-24 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Republican,I primarily work from home
8dp4dx,45-54 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,2,No affiliation,I do a mix of both
