submission_id,monthly_coffee_spend,most_paid_for_coffee,most_willing_to_pay,cafe_coffee_good_value,equipment_spend,equipment_good_value,monthly_spend_band_order,estimated_monthly_spend
ylq5zd,$40-$60,$15-$20,More than $20,,"More than $1,000",Yes,3,50.0
NAB1EO,$80-$100,$8-$10,$10-$15,No,$500-$1000,No,5,90.0
7d9rj0,$40-$60,$8-$10,$10-$15,Yes,$500-$1000,Yes,3,50.0
ZdRrKB,$20-$40,$6-$8,$8-$10,No,"More than $1,000",Yes,2,30.0
xdN56d,$20-$40,$6-$8,$6-$8,Yes,$50-$100,Yes,2,30.0
rlrMg2,$40-$60,$8-$10,$15-$20,No,$100-$300,Yes,3,50.0
qbE1pg,$20-$40,$10-$15,$15-$20,No,Less than $20,Yes,2,30.0
pLPpXJ,$60-$80,$8-$10,More than $20,Yes,"More than $1,000",Yes,4,70.0
xdN5vk,$20-$40,$6-$8,$8-$10,Yes,$100-$300,Yes,2,30.0
vNx5a0,>$100,More than $20,More than $20,Yes,$300-$500,Yes,6,110.0
LdML6J,$20-$40,$8-$10,$15-$20,No,"More than $1,000",Yes,2,30.0
bl4QML,,,,,,,,
6dQEyJ,$20-$40,$6-$8,$6-$8,Yes,"More than $1,000",Yes,2,30.0
xdN5L5,$60-$80,$6-$8,$10-$15,No,$500-$1000,Yes,4,70.0
OABMra,$20-$40,$4-$6,$8-$10,Yes,$300-$500,Yes,2,30.0
jB9AgQ,$20-$40,$6-$8,$10-$15,Yes,$50-$100,Yes,2,30.0
EPb7AB,$80-$100,$8-$10,$10-$15,Yes,$50-$100,Yes,5,90.0
GrBAQO,$80-$100,$4-$6,$4-$6,Yes,"More than $1,000",Yes,5,90.0
lNlk9v,$60-$80,$8-$10,$15-$20,Yes,$500-$1000,Yes,4,70.0
eBxWox,<$20,$6-$8,$4-$6,No,$100-$300,Yes,1,10.0
VZ1OyM,<$20,$4-$6,$6-$8,Yes,Less than $20,Yes,1,10.0
KMBKNV,$20-$40,$8-$10,$10-$15,Yes,$300-$500,Yes,2,30.0
OABMyY,$40-$60,$8-$10,$10-$15,Yes,$300-$500,Yes,3,50.0
WApVjR,$20-$40,$6-$8,$6-$8,Yes,$50-$100,Yes,2,30.0
OABMKR,$20-$40,$10-$15,$10-$15,Yes,$100-$300,Yes,2,30.0
YZzlyW,,,,,,,,
BGbWVK,$20-$40,$8-$10,$10-$15,Yes,,,2,30.0
XeBPyL,$80-$100,$6-$8,$6-$8,Yes,"More than $1,000",Yes,5,90.0
VZ1OBg,$40-$60,$6-$8,More than $20,No,"More than $1,000",Yes,3,50.0
1r2ox1,<$20,$6-$8,$8-$10,Yes,$50-$100,No,1,10.0
LdMLVl,$20-$40,$8-$10,$10-$15,Yes,$300-$500,Yes,2,30.0
oAVLQO,$20-$40,$10-$15,$15-$20,No,"More than $1,000",Yes,2,30.0
pLPpNJ,<$20,$10-$15,More than $20,Yes,$300-$500,Yes,1,10.0
eBxWPk,$20-$40,$4-$6,$6-$8,Yes,$500-$1000,Yes,2,30.0
VZ1Oxj,<$20,$4-$6,$8-$10,No,Less than $20,Yes,1,10.0
zKQ54R,$40-$60,$8-$10,$10-$15,Yes,$300-$500,Yes,3,50.0
Albeyl,,$4-$6,$8-$10,No,$500-$1000,Yes,,
eBxWyl,$40-$60,$6-$8,$10-$15,No,"More than $1,000",Yes,3,50.0
rlrM1R,$40-$60,$6-$8,$8-$10,Yes,$100-$300,Yes,3,50.0
24xGZD,$80-$100,$10-$15,More than $20,No,$500-$1000,Yes,5,90.0
VZ1Oyy,$20-$40,$6-$8,$6-$8,No,$50-$100,Yes,2,30.0
XeBPdg,$40-$60,$10-$15,$15-$20,Yes,$300-$500,Yes,3,50.0
rlrMRN,>$100,$6-$8,$6-$8,Yes,"More than $1,000",Yes,6,110.0
6dQEGk,$20-$40,$6-$8,$8-$10,Yes,"More than $1,000",Yes,2,30.0
EPb7YB,$20-$40,$6-$8,$8-$10,Yes,"More than $1,000",Yes,2,30.0
7d9rEa,$40-$60,$6-$8,$6-$8,No,$100-$300,Yes,3,50.0
ylq5Rx,$20-$40,$8-$10,More than $20,No,$300-$500,Yes,2,30.0
MAdpgk,$20-$40,$10-$15,$10-$15,Yes,$500-$1000,Yes,2,30.0
g5N6vJ,$40-$60,$8-$10,$8-$10,Yes,"More than $1,000",Yes,3,50.0
0EjRlB,$20-$40,$6-$8,$10-$15,No,$500-$1000,Yes,2,30.0
9dJjPQ,$60-$80,$6-$8,$8-$10,Yes,"More than $1,000",Yes,4,70.0
AlbeND,$20-$40,$6-$8,$8-$10,No,"More than $1,000",Yes,2,30.0
OABMkM,$80-$100,$15-$20,More than $20,Yes,"More than $1,000",Yes,5,90.0
zKQ5dk,<$20,$4-$6,$8-$10,No,"More than $1,000",Yes,1,10.0
7d9rgR,$40-$60,$6-$8,$6-$8,Yes,$300-$500,Yes,3,50.0
vNx5pl,$20-$40,$8-$10,$10-$15,Yes,$50-$100,Yes,2,30.0
EPb7e4,$40-$60,$6-$8,$6-$8,Yes,$500-$1000,Yes,3,50.0
DVv6PZ,$20-$40,$6-$8,$6-$8,Yes,"More than $1,000",Yes,2,30.0
MAdpPk,$20-$40,$8-$10,$10-$15,Yes,$300-$500,Yes,2,30.0
ylq5rg,<$20,$6-$8,$15-$20,No,$300-$500,Yes,1,10.0
24xG7M,$60-$80,$6-$8,$10-$15,Yes,Less than $20,No,4,70.0
bl4Qz6,$20-$40,$6-$8,$8-$10,Yes,$500-$1000,Yes,2,30.0
6dQE9Y,$20-$40,$8-$10,$10-$15,No,$50-$100,Yes,2,30.0
eBxWvQ,$60-$80,More than $20,More than $20,Yes,$500-$1000,No,4,70.0
ZdRrXo,$20-$40,$6-$8,$6-$8,Yes,$300-$500,Yes,2,30.0
24xGy9,$40-$60,$6-$8,$6-$8,Yes,$500-$1000,Yes,3,50.0
xdN57r,<$20,$6-$8,$4-$6,Yes,$100-$300,Yes,1,10.0
lNlkXk,<$20,$8-$10,$8-$10,Yes,$50-$100,Yes,1,10.0
9dJjyV,$40-$60,$6-$8,$10-$15,Yes,$300-$500,Yes,3,50.0
RzBy19,$40-$60,$4-$6,$10-$15,,$100-$300,Yes,3,50.0
J2kvgK,$20-$40,$6-$8,$10-$15,No,$500-$1000,Yes,2,30.0
J2kvbo,$40-$60,$4-$6,$4-$6,Yes,$500-$1000,Yes,3,50.0
DVv6ZE,$40-$60,$10-$15,$15-$20,Yes,$500-$1000,Yes,3,50.0
aBrq1B,,,,,,,,
XeBPvY,<$20,$8-$10,$4-$6,Yes,"More than $1,000",Yes,1,10.0
ZdRrAo,$20-$40,$6-$8,$8-$10,Yes,$300-$500,Yes,2,30.0
NAB1O0,$60-$80,More than $20,More than $20,No,$500-$1000,Yes,4,70.0
J2kvBr,$60-$80,$10-$15,More than $20,Yes,"More than $1,000",Yes,4,70.0
ylq5px,$20-$40,$8-$10,More than $20,No,$300-$500,Yes,2,30.0
KMBKRg,$40-$60,$6-$8,$10-$15,Yes,$300-$500,Yes,3,50.0
OABMyg,$60-$80,$8-$10,More than $20,Yes,$500-$1000,Yes,4,70.0
oAVLax,$60-$80,$6-$8,$8-$10,Yes,$500-$1000,Yes,4,70.0
VZ1OXg,$40-$60,$6-$8,$8-$10,No,$100-$300,Yes,3,50.0
WApVdv,$40-$60,$10-$15,$15-$20,No,"More than $1,000",Yes,3,50.0
aBrqXB,,$6-$8,$8-$10,Yes,,,,
EPb7rr,$60-$80,$6-$8,$8-$10,No,$300-$500,Yes,4,70.0
NAB1gO,$40-$60,$8-$10,$8-$10,No,$100-$300,Yes,3,50.0
XeBPkY,$20-$40,$8-$10,More than $20,No,"More than $1,000",Yes,2,30.0
vNx5Wg,$40-$60,$4-$6,More than $20,No,$300-$500,Yes,3,50.0
LdMLOy,$20-$40,$4-$6,$4-$6,Yes,$20-$50,Yes,2,30.0
aBrqa2,$40-$60,$4-$6,$10-$15,No,"More than $1,000",Yes,3,50.0
WApVXN,$20-$40,$6-$8,$8-$10,No,"More than $1,000",Yes,2,30.0
OABMeg,$20-$40,$6-$8,$8-$10,Yes,$500-$1000,Yes,2,30.0
NAB1xl,$60-$80,$6-$8,$8-$10,Yes,$50-$100,Yes,4,70.0
dY2ekV,$80-$100,$8-$10,$10-$15,Yes,$100-$300,Yes,5,90.0
LdMLBv,$40-$60,$6-$8,$6-$8,Yes,$100-$300,Yes,3,50.0
Albe0e,$20-$40,$10-$15,$8-$10,Yes,$50-$100,Yes,2,30.0
eBxW8e,$40-$60,$8-$10,$10-$15,Yes,$500-$1000,Yes,3,50.0
8dp4V5,>$100,More than $20,More than $20,Yes,"More than $1,000",Yes,6,110.0
1r2ozp,$40-$60,$6-$8,$6-$8,No,$300-$500,Yes,3,50.0
DVv6al,$40-$60,$6-$8,More than $20,No,"More than $1,000",Yes,3,50.0
QABl4Y,$80-$100,$6-$8,$10-$15,Yes,$100-$300,Yes,5,90.0
DVv6EZ,$20-$40,$4-$6,$6-$8,No,"More than $1,000",Yes,2,30.0
J2kvxR,$40-$60,$6-$8,$8-$10,No,$100-$300,Yes,3,50.0
eBxWGe,$80-$100,$6-$8,$6-$8,Yes,$100-$300,Yes,5,90.0
KMBKA8,$60-$80,$8-$10,$10-$15,No,$500-$1000,Yes,4,70.0
DVv6Wl,$40-$60,$8-$10,More than $20,No,$100-$300,Yes,3,50.0
QABlyG,<$20,$4-$6,$8-$10,Yes,$100-$300,Yes,1,10.0
pLPp58,$40-$60,$10-$15,More than $20,Yes,"More than $1,000",Yes,3,50.0
VZ1Oqj,$20-$40,$8-$10,$10-$15,No,$100-$300,Yes,2,30.0
XeBPNP,$20-$40,$8-$10,$8-$10,Yes,$20-$50,Yes,2,30.0
jB9Aq4,$20-$40,$6-$8,$6-$8,Yes,$500-$1000,Yes,2,30.0
qbE1M9,$20-$40,$10-$15,$15-$20,No,$100-$300,Yes,2,30.0
5dqPON,$40-$60,$4-$6,$15-$20,No,"More than $1,000",Yes,3,50.0
rlrMW2,$20-$40,$8-$10,More than $20,No,"More than $1,000",Yes,2,30.0
dY2ezr,$40-$60,$6-$8,$4-$6,No,$100-$300,Yes,3,50.0
oAVLgb,$80-$100,$8-$10,$6-$8,No,$500-$1000,Yes,5,90.0
GrBAaZ,$60-$80,$8-$10,More than $20,Yes,"More than $1,000",Yes,4,70.0
7d9rOZ,$20-$40,$4-$6,$4-$6,No,"More than $1,000",Yes,2,30.0
kYRB1e,<$20,$6-$8,$6-$8,Yes,$20-$50,Yes,1,10.0
24xGzj,>$100,More than $20,More than $20,Yes,"More than $1,000",Yes,6,110.0
XeBPQP,$20-$40,$6-$8,$6-$8,Yes,Less than $20,Yes,2,30.0
9dJj4E,$20-$40,$15-$20,More than $20,Yes,$300-$500,Yes,2,30.0
MAdpqA,$20-$40,$10-$15,$10-$15,Yes,$100-$300,Yes,2,30.0
AlbeOz,$40-$60,$6-$8,$6-$8,No,$100-$300,Yes,3,50.0
NAB1Qj,$80-$100,$15-$20,More than $20,Yes,"More than $1,000",Yes,5,90.0
GrBA5O,<$20,$6-$8,$8-$10,Yes,$50-$100,Yes,1,10.0
24xGYj,$20-$40,$6-$8,$10-$15,Yes,$500-$1000,Yes,2,30.0
kYRBXR,$20-$40,$6-$8,$6-$8,Yes,$300-$500,Yes,2,30.0
WApV6N,$20-$40,$15-$20,More than $20,No,"More than $1,000",Yes,2,30.0
dY2eXo,$20-$40,$10-$15,$15-$20,No,$300-$500,Yes,2,30.0
QABlp7,$60-$80,$8-$10,,Yes,$300-$500,Yes,4,70.0
ylq5GX,<$20,$2-$4,$4-$6,No,$300-$500,Yes,1,10.0
EPb7Al,$40-$60,$8-$10,$15-$20,Yes,$20-$50,Yes,3,50.0
42NVEA,$40-$60,$6-$8,$6-$8,No,"More than $1,000",Yes,3,50.0
aBrqgb,$40-$60,$8-$10,$8-$10,No,$300-$500,Yes,3,50.0
42NVYX,$40-$60,$8-$10,$2-$4,Yes,$500-$1000,Yes,3,50.0
oAVL1x,$40-$60,$8-$10,$8-$10,Yes,$300-$500,Yes,3,50.0
KMBKZV,$60-$80,$8-$10,$10-$15,Yes,$300-$500,Yes,4,70.0
1r2oyl,$20-$40,$10-$15,$10-$15,Yes,$500-$1000,Yes,2,30.0
42NVEr,$20-$40,$10-$15,$10-$15,Yes,$300-$500,Yes,2,30.0
g5N614,$40-$60,$10-$15,$10-$15,Yes,$300-$500,Yes,3,50.0
0EjRyj,$80-$100,$6-$8,$6-$8,Yes,"More than $1,000",Yes,5,90.0
6dQEzJ,$20-$40,$10-$15,$10-$15,No,$50-$100,Yes,2,30.0
jB9Ara,$20-$40,$15-$20,$15-$20,Yes,$20-$50,Yes,2,30.0
dY2e4K,<$20,$6-$8,$6-$8,No,Less than $20,No,1,10.0
zKQ5vM,>$100,$15-$20,More than $20,No,"More than $1,000",Yes,6,110.0
YZzlgW,<$20,$15-$20,$6-$8,Yes,$300-$500,Yes,1,10.0
pLPpZ1,$20-$40,$15-$20,$15-$20,Yes,$100-$300,Yes,2,30.0
J2kvro,$40-$60,$10-$15,$10-$15,No,$500-$1000,Yes,3,50.0
xdN5B5,,$8-$10,$15-$20,No,$100-$300,Yes,,
rlrMp2,$40-$60,$4-$6,$6-$8,No,"More than $1,000",Yes,3,50.0
QABlWG,>$100,$8-$10,$8-$10,No,"More than $1,000",Yes,6,110.0
vNx5d4,$40-$60,$8-$10,$8-$10,Yes,$100-$300,Yes,3,50.0
jB9AzQ,$40-$60,$8-$10,$8-$10,Yes,$100-$300,Yes,3,50.0
MAdp2M,$20-$40,$8-$10,$8-$10,Yes,$100-$300,Yes,2,30.0
7d9rYZ,$40-$60,$8-$10,$10-$15,Yes,$500-$1000,Yes,3,50.0
g5N6XO,$20-$40,$4-$6,$6-$8,No,$300-$500,Yes,2,30.0
PABJr1,$20-$40,$6-$8,$6-$8,Yes,$100-$300,Yes,2,30.0
RzByg4,$20-$40,$6-$8,$8-$10,Yes,$100-$300,Yes,2,30.0
MAdpGl,$20-$40,$8-$10,$8-$10,No,$100-$300,Yes,2,30.0
g5N6rD,$40-$60,$6-$8,$6-$8,No,$100-$300,Yes,3,50.0
RzByaj,$20-$40,$6-$8,More than $20,Yes,$500-$1000,Yes,2,30.0
PABJLV,$40-$60,$8-$10,$10-$15,Yes,$500-$1000,Yes,3,50.0
GrBA4k,<$20,$8-$10,$10-$15,Yes,$20-$50,Yes,1,10.0
zKQ5o0,<$20,$8-$10,$8-$10,Yes,$100-$300,Yes,1,10.0
dY2eyA,,,,,,,,
GrBAOp,$20-$40,$4-$6,$6-$8,No,$500-$1000,Yes,2,30.0
qbE1QY,$40-$60,$6-$8,$10-$15,Yes,$300-$500,Yes,3,50.0
9dJj0p,,$8-$10,$8-$10,Yes,$100-$300,Yes,,
EPb77N,$20-$40,$6-$8,$6-$8,No,Less than $20,No,2,30.0
YZzlbB,$60-$80,$10-$15,,,,,4,70.0
Albeek,$20-$40,$8-$10,$8-$10,No,$100-$300,Yes,2,30.0
WApV7a,$60-$80,$10-$15,More than $20,No,$50-$100,Yes,4,70.0
kYRBPM,$40-$60,,,,,,3,50.0
GrBAAo,$40-$60,$10-$15,More than $20,No,$500-$1000,Yes,3,50.0
rlrMMl,$20-$40,$10-$15,More than $20,No,"More than $1,000",Yes,2,30.0
VZ1Oag,$20-$40,$10-$15,$15-$20,No,$300-$500,Yes,2,30.0
5dqPa6,$40-$60,$8-$10,$10-$15,Yes,$300-$500,Yes,3,50.0
J2kvj4,$60-$80,$15-$20,More than $20,Yes,$300-$500,Yes,4,70.0
XeBPAj,$40-$60,$6-$8,$10-$15,Yes,$20-$50,Yes,3,50.0
24xGdL,$40-$60,$6-$8,More than $20,No,"More than $1,000",Yes,3,50.0
qbE117,$20-$40,$6-$8,$6-$8,No,$100-$300,Yes,2,30.0
42NVVk,$40-$60,$8-$10,$10-$15,Yes,"More than $1,000",Yes,3,50.0
5dqPYo,$20-$40,$6-$8,$6-$8,No,$500-$1000,Yes,2,30.0
J2kv4d,$80-$100,$10-$15,$15-$20,Yes,$300-$500,Yes,5,90.0
EPb7VX,<$20,$6-$8,More than $20,No,$50-$100,Yes,1,10.0
LdMLxj,$60-$80,$8-$10,$8-$10,No,"More than $1,000",Yes,4,70.0
1r2o0Q,$60-$80,$10-$15,$10-$15,Yes,"More than $1,000",Yes,4,70.0
bl4QJo,$40-$60,$6-$8,$6-$8,No,$500-$1000,Yes,3,50.0
42NV6b,$20-$40,$6-$8,$4-$6,No,$100-$300,Yes,2,30.0
aBrqJv,$20-$40,$4-$6,$4-$6,Yes,$100-$300,Yes,2,30.0
OABMM7,$40-$60,$4-$6,$6-$8,No,$100-$300,Yes,3,50.0
42NVMb,$80-$100,$10-$15,$10-$15,No,"More than $1,000",Yes,5,90.0
WApVaj,$40-$60,$6-$8,More than $20,Yes,$100-$300,Yes,3,50.0
RzByQ9,$20-$40,$6-$8,$6-$8,No,$500-$1000,Yes,2,30.0
OABMM8,$80-$100,$15-$20,$15-$20,Yes,$500-$1000,Yes,5,90.0
42NVlk,$20-$40,$6-$8,$6-$8,Yes,$100-$300,Yes,2,30.0
XeBP6j,<$20,$8-$10,$10-$15,No,"More than $1,000",Yes,1,10.0
WApVLJ,,,,,,,,
eBxWWO,$20-$40,$6-$8,$6-$8,Yes,$500-$1000,Yes,2,30.0
PABJqb,$40-$60,$8-$10,$8-$10,No,$100-$300,Yes,3,50.0
6dQEBB,$60-$80,$8-$10,$10-$15,Yes,$100-$300,Yes,4,70.0
GrBAEp,$20-$40,$6-$8,$6-$8,No,$100-$300,Yes,2,30.0
xdN5qo,$40-$60,$4-$6,$4-$6,Yes,$300-$500,Yes,3,50.0
g5N6VO,$60-$80,$8-$10,$10-$15,Yes,$500-$1000,Yes,4,70.0
eBxWXO,$40-$60,$6-$8,$6-$8,No,$500-$1000,Yes,3,50.0
KMBKj7,$60-$80,$6-$8,$6-$8,Yes,$300-$500,Yes,4,70.0
5dqP06,$40-$60,$10-$15,$10-$15,No,$500-$1000,Yes,3,50.0
zKQ58a,$80-$100,More than $20,More than $20,No,"More than $1,000",Yes,5,90.0
EPb7RN,$40-$60,$6-$8,$8-$10,No,"More than $1,000",Yes,3,50.0
DVv685,$60-$80,$10-$15,More than $20,No,$100-$300,Yes,4,70.0
RzByed,$40-$60,$10-$15,$10-$15,Yes,$300-$500,Yes,3,50.0
oAVLjV,$60-$80,$10-$15,$15-$20,Yes,"More than $1,000",Yes,4,70.0
dY2ery,$20-$40,$6-$8,$10-$15,Yes,$20-$50,Yes,2,30.0
pLPp2b,$40-$60,$10-$15,$10-$15,No,"More than $1,000",Yes,3,50.0
QABlN8,$20-$40,$4-$6,$4-$6,Yes,$500-$1000,Yes,2,30.0
GrBAZj,<$20,$8-$10,$10-$15,Yes,$300-$500,Yes,1,10.0
YZzl75,$40-$60,$4-$6,More than $20,Yes,$500-$1000,Yes,3,50.0
ylq58B,$40-$60,More than $20,More than $20,No,"More than $1,000",Yes,3,50.0
ylq5AB,<$20,$4-$6,$6-$8,No,Less than $20,Yes,1,10.0
AlbeR0,$40-$60,$15-$20,More than $20,No,"More than $1,000",Yes,3,50.0
dY2eoo,$20-$40,$6-$8,More than $20,Yes,$100-$300,Yes,2,30.0
YZzlAd,$40-$60,$8-$10,$8-$10,Yes,$500-$1000,Yes,3,50.0
NAB1NB,$40-$60,$10-$15,More than $20,Yes,"More than $1,000",Yes,3,50.0
aBrqR9,<$20,$6-$8,$8-$10,Yes,$100-$300,Yes,1,10.0
LdMLr1,$80-$100,$10-$15,$15-$20,Yes,$500-$1000,Yes,5,90.0
zKQ5k1,$40-$60,$10-$15,$15-$20,Yes,$100-$300,Yes,3,50.0
42NVbO,<$20,$10-$15,$15-$20,Yes,$100-$300,Yes,1,10.0
oAVLJ1,$40-$60,$8-$10,$8-$10,Yes,$300-$500,Yes,3,50.0
jB9AN6,$20-$40,$6-$8,$10-$15,Yes,$100-$300,Yes,2,30.0
qbE1l7,<$20,$6-$8,$6-$8,Yes,$100-$300,Yes,1,10.0
42NV0X,$20-$40,$4-$6,$6-$8,No,$20-$50,Yes,2,30.0
7d9rrA,<$20,$6-$8,$8-$10,Yes,$500-$1000,Yes,1,10.0
5dqPNM,$40-$60,$6-$8,$6-$8,Yes,$300-$500,Yes,3,50.0
ZdRrbz,$40-$60,$10-$15,$15-$20,Yes,$300-$500,Yes,3,50.0
vNx5RA,$20-$40,$10-$15,$15-$20,No,$100-$300,No,2,30.0
0EjRqN,$20-$40,$15-$20,$2-$4,No,$50-$100,Yes,2,30.0
vNx59Q,$60-$80,$8-$10,$10-$15,Yes,$500-$1000,Yes,4,70.0
EPb72o,<$20,$15-$20,$15-$20,Yes,Less than $20,Yes,1,10.0
dY2eJq,$20-$40,$8-$10,$8-$10,No,$300-$500,Yes,2,30.0
g5N6od,,,,,,,,
PABJxb,$60-$80,$8-$10,$8-$10,No,$50-$100,No,4,70.0
6dQEEB,$40-$60,$10-$15,$15-$20,Yes,$100-$300,Yes,3,50.0
6dQE6P,$40-$60,$10-$15,$10-$15,No,$100-$300,Yes,3,50.0
pLPpYq,$40-$60,$8-$10,$8-$10,Yes,$100-$300,No,3,50.0
RzByyJ,,$8-$10,$6-$8,No,"More than $1,000",Yes,,
XeBP7g,$40-$60,,$2-$4,No,$20-$50,Yes,3,50.0
rlrM8l,$20-$40,$6-$8,$6-$8,Yes,$100-$300,Yes,2,30.0
RzByqd,$20-$40,$6-$8,More than $20,No,"More than $1,000",Yes,2,30.0
9dJjKY,<$20,$8-$10,$4-$6,No,"More than $1,000",Yes,1,10.0
RzByNl,<$20,$10-$15,$10-$15,Yes,Less than $20,Yes,1,10.0
VZ1O7J,$80-$100,$6-$8,$8-$10,No,"More than $1,000",No,5,90.0
vNx5kd,$40-$60,$10-$15,$10-$15,No,$300-$500,Yes,3,50.0
8dp4DO,$20-$40,$4-$6,$4-$6,No,$100-$300,Yes,2,30.0
7d9rkA,$40-$60,$6-$8,$6-$8,No,$100-$300,Yes,3,50.0
GrBAAp,$60-$80,$6-$8,$10-$15,No,$500-$1000,Yes,4,70.0
rlrMQN,$20-$40,$6-$8,$15-$20,No,$100-$300,Yes,2,30.0
GrBAW2,$20-$40,$6-$8,More than $20,No,"More than $1,000",Yes,2,30.0
6dQEqe,$20-$40,$8-$10,$10-$15,Yes,$500-$1000,Yes,2,30.0
RzBypp,$60-$80,$10-$15,More than $20,Yes,$500-$1000,Yes,4,70.0
zKQ5AR,$20-$40,$6-$8,$8-$10,Yes,"More than $1,000",Yes,2,30.0
eBxWg0,$20-$40,$6-$8,$15-$20,No,$100-$300,Yes,2,30.0
jB9AAx,<$20,$8-$10,$8-$10,Yes,$20-$50,Yes,1,10.0
oAVLLV,$20-$40,$10-$15,More than $20,Yes,$100-$300,Yes,2,30.0
YZzl6d,$60-$80,$6-$8,$8-$10,Yes,"More than $1,000",Yes,4,70.0
g5N6EN,<$20,$4-$6,$4-$6,No,Less than $20,Yes,1,10.0
xdN5AG,$40-$60,$10-$15,$10-$15,Yes,$300-$500,Yes,3,50.0
lNlkp5,$20-$40,$10-$15,More than $20,Yes,,,2,30.0
ZdRrBy,$20-$40,$8-$10,$10-$15,No,"More than $1,000",Yes,2,30.0
YZzl2q,$20-$40,$10-$15,More than $20,Yes,$100-$300,Yes,2,30.0
rlrM75,$20-$40,$6-$8,$6-$8,Yes,$300-$500,Yes,2,30.0
zKQ5Ba,<$20,$4-$6,$4-$6,No,$50-$100,Yes,1,10.0
0EjRX0,$20-$40,$6-$8,$6-$8,Yes,$300-$500,Yes,2,30.0
VZ1OgE,$80-$100,$8-$10,$8-$10,Yes,$100-$300,Yes,5,90.0
9dJjjY,$40-$60,$8-$10,$6-$8,No,"More than $1,000",Yes,3,50.0
J2kvE4,$20-$40,$4-$6,$4-$6,No,$100-$300,Yes,2,30.0
rlrM4M,$40-$60,$6-$8,$8-$10,Yes,$300-$500,Yes,3,50.0
1r2oLM,,,,,,,,
8dp4Bx,<$20,$6-$8,$10-$15,Yes,$50-$100,Yes,1,10.0
jB9A4a,$40-$60,$8-$10,$10-$15,Yes,$100-$300,Yes,3,50.0
42NVVO,$60-$80,$6-$8,$6-$8,No,$300-$500,Yes,4,70.0
bl4QRg,$40-$60,$6-$8,$15-$20,Yes,$300-$500,Yes,3,50.0
pLPpqq,$20-$40,$10-$15,More than $20,Yes,$500-$1000,No,2,30.0
AlbeXk,,$6-$8,,,,,,
42NV6O,$40-$60,$6-$8,$10-$15,No,"More than $1,000",Yes,3,50.0
GrBAM2,$80-$100,$15-$20,More than $20,No,$500-$1000,Yes,5,90.0
LdML4j,<$20,$6-$8,$6-$8,No,"More than $1,000",Yes,1,10.0
42NVeB,$20-$40,$6-$8,$8-$10,No,"More than $1,000",Yes,2,30.0
QABllp,$80-$100,$8-$10,$10-$15,Yes,$100-$300,Yes,5,90.0
RzByNJ,$40-$60,$10-$15,$10-$15,Yes,$100-$300,Yes,3,50.0
oAVLP1,$40-$60,$15-$20,More than $20,Yes,$100-$300,Yes,3,50.0
kYRBj1,$40-$60,$8-$10,$8-$10,No,$100-$300,Yes,3,50.0
EPb79q,$40-$60,$15-$20,More than $20,Yes,$500-$1000,Yes,3,50.0
aBrqMq,$20-$40,$8-$10,$15-$20,Yes,$500-$1000,Yes,2,30.0
GrBAVZ,<$20,$4-$6,$8-$10,No,$500-$1000,Yes,1,10.0
5dqP7d,<$20,$6-$8,$4-$6,No,$100-$300,Yes,1,10.0
kYRBL6,$20-$40,$8-$10,$8-$10,Yes,$500-$1000,Yes,2,30.0
DVv6oR,$20-$40,$15-$20,More than $20,No,$100-$300,Yes,2,30.0
GrBAGj,$40-$60,$8-$10,$15-$20,Yes,$500-$1000,Yes,3,50.0
24xG9L,<$20,$4-$6,$8-$10,No,$100-$300,Yes,1,10.0
lNlkGW,$20-$40,$15-$20,$15-$20,Yes,"More than $1,000",Yes,2,30.0
vNx58v,$20-$40,$15-$20,More than $20,Yes,$20-$50,Yes,2,30.0
g5N6BN,<$20,$6-$8,$8-$10,Yes,Less than $20,Yes,1,10.0
OABMRK,$60-$80,$8-$10,$8-$10,No,$500-$1000,Yes,4,70.0
eBxWVq,$20-$40,$6-$8,$6-$8,No,$300-$500,Yes,2,30.0
g5N621,$80-$100,$10-$15,$10-$15,Yes,,Yes,5,90.0
5dqPJM,$20-$40,$8-$10,More than $20,Yes,"More than $1,000",Yes,2,30.0
7d9ryL,$20-$40,$8-$10,$6-$8,Yes,$500-$1000,Yes,2,30.0
aBrq7E,$60-$80,$4-$6,$4-$6,Yes,"More than $1,000",Yes,4,70.0
XeBPa4,$20-$40,$8-$10,$8-$10,Yes,$50-$100,Yes,2,30.0
kYRBqJ,$40-$60,$10-$15,$10-$15,No,$500-$1000,No,3,50.0
24xGGL,$20-$40,$8-$10,More than $20,Yes,$50-$100,Yes,2,30.0
aBrqqq,$40-$60,$6-$8,$8-$10,Yes,"More than $1,000",Yes,3,50.0
VZ1O6v,$40-$60,$8-$10,$8-$10,Yes,$500-$1000,Yes,3,50.0
jB9AjR,<$20,$10-$15,More than $20,Yes,$50-$100,No,1,10.0
AlbeM0,$60-$80,$8-$10,$10-$15,Yes,$100-$300,Yes,4,70.0
NAB1ZQ,$40-$60,$8-$10,$10-$15,Yes,Less than $20,Yes,3,50.0
xdN5GG,$20-$40,$6-$8,$10-$15,No,"More than $1,000",Yes,2,30.0
oAVLJX,<$20,$4-$6,$4-$6,Yes,Less than $20,Yes,1,10.0
lNlkx5,$20-$40,More than $20,$2-$4,No,$300-$500,Yes,2,30.0
ZdRrqa,$40-$60,$8-$10,$8-$10,Yes,$500-$1000,Yes,3,50.0
OABM28,$20-$40,$4-$6,$2-$4,No,$50-$100,Yes,2,30.0
