submission_id,age,gender,education_level,employment_status,number_children,work_from_home,cups_per_day,where_drink,brew_methods,purchase_locations,favorite_drink,preferred_style,preferred_strength,preferred_roast_level,caffeine_preference,expertise,likes_coffee_taste,knows_coffee_source,expertise_segment,expertise_segment_order,monthly_coffee_spend,monthly_spend_band_order,estimated_monthly_spend,most_paid_for_coffee,most_willing_to_pay,cafe_coffee_good_value,equipment_spend,equipment_good_value,is_premium_customer,preferred_abc,preferred_a_or_d,preferred_overall
VZ1WY6,35-44 years old,Prefer not to say,Bachelor's degree,Employed full-time,,I primarily work from home,2,"At home, At a cafe","Pour over, French press, Instant coffee, Cold brew",,Pourover,Juicy,Somewhat strong,Light,Full caffeine,7.0,Yes,Yes,Advanced,3,$40-$60,3.0,50.0,$10-$15,$15-$20,Yes,$100-$300,Yes,0,Coffee C,Coffee D,Coffee C
LdM4Vv,55-64 years old,Female,Doctorate or professional degree,Retired,,,1,At home,Coffee brewing machine (e.g. Mr. Coffee),,Mocha,Full Bodied,Somewhat strong,Dark,Full caffeine,4.0,Yes,Yes,Intermediate,2,,,,$2-$4,$2-$4,No,Less than $20,Yes,0,Coffee C,Coffee A,Coffee C
6dQ6MJ,45-54 years old,Female,Bachelor's degree,Retired,2,I primarily work from home,1,At home,"Pour over, Coffee extract (e.g. Cometeer)",,Pourover,Sweet,Medium,Medium,Full caffeine,5.0,Yes,Yes,Intermediate,2,$40-$60,3.0,50.0,$10-$15,$10-$15,Yes,$500-$1000,Yes,0,Coffee A,Coffee A,Coffee A
oAV8vx,25-34 years old,Male,Master's degree,Employed full-time,,I do a mix of both,2,"At home, At the office","Pour over, Other, French press",,Pourover,Fruity,Somewhat strong,Light,Full caffeine,6.0,Yes,Yes,Intermediate,2,$20-$40,2.0,30.0,$4-$6,$2-$4,Yes,$50-$100,Yes,0,Coffee B,Coffee D,Coffee D
oAV8gP,25-34 years old,Male,Master's degree,Employed full-time,,I primarily work from home,1,At home,Pod/capsule machine (e.g. Keurig/Nespresso),,Latte,Nutty,Somewhat strong,Dark,Full caffeine,6.0,Yes,Yes,Intermediate,2,$40-$60,3.0,50.0,$8-$10,$10-$15,No,$300-$500,Yes,0,Coffee C,Coffee D,Coffee C
EPboJ2,25-34 years old,Male,Bachelor's degree,Employed full-time,,I do a mix of both,1,"At the office, At home, On the go","Pour over, Espresso",Local cafe,Latte,Juicy,Somewhat strong,Light,Full caffeine,7.0,Yes,Yes,Advanced,3,$60-$80,4.0,70.0,$8-$10,$10-$15,No,"More than $1,000",Yes,1,Coffee C,Coffee A,Coffee C
MAdjVA,25-34 years old,Male,Some college or associate's degree,Employed full-time,,I primarily work in person,1,"At the office, On the go, At home",Other,Specialty coffee shop,Mocha,Bright,Medium,Medium,Full caffeine,6.0,Yes,No,Intermediate,2,$40-$60,3.0,50.0,$8-$10,$8-$10,No,$300-$500,Yes,0,Coffee B,Coffee D,Coffee B
EPboEX,25-34 years old,Male,Some college or associate's degree,Employed full-time,,I primarily work from home,3,At home,"Pour over, Other",,Pourover,Nutty,Somewhat strong,Medium,Full caffeine,5.0,Yes,No,Intermediate,2,$20-$40,2.0,30.0,$10-$15,$10-$15,Yes,"More than $1,000",Yes,0,Coffee B,Coffee A,Coffee B
6dQ64k,35-44 years old,Male,Bachelor's degree,Employed full-time,2,I do a mix of both,3,"At the office, At home, At a cafe","Pour over, French press",,Cortado,Fruity,Medium,Medium,Full caffeine,3.0,Yes,Yes,Beginner,1,$40-$60,3.0,50.0,$6-$8,$6-$8,Yes,$20-$50,Yes,0,Coffee B,Coffee D,Coffee B
NAB240,55-64 years old,Male,Master's degree,Employed part-time,More than 3,I primarily work from home,3,At home,Pour over,,Pourover,Floral,Medium,Light,Full caffeine,6.0,Yes,Yes,Intermediate,2,$20-$40,2.0,30.0,$8-$10,$8-$10,Yes,$100-$300,Yes,0,Coffee A,Coffee A,Coffee A
pLPYzB,55-64 years old,Male,High school graduate,Retired,2,,2,At home,"Pour over, French press, Pod/capsule machine (e.g. Keurig/Nespresso), Cold brew",,Other,Sweet,Medium,Light,Full caffeine,4.0,Yes,Yes,Intermediate,2,,,,$6-$8,$6-$8,No,$300-$500,Yes,0,Coffee B,Coffee A,Coffee B
OABxEg,55-64 years old,Male,Doctorate or professional degree,Employed full-time,2,I primarily work in person,2,At home,Pour over,,Cappuccino,Full Bodied,Very strong,Dark,Full caffeine,5.0,Yes,No,Intermediate,2,$80-$100,5.0,90.0,$10-$15,More than $20,No,$500-$1000,No,0,Coffee B,Coffee D,Coffee B
NAB2gB,25-34 years old,Male,Doctorate or professional degree,Employed full-time,,I do a mix of both,2,"At home, At the office",Pour over,,Pourover,Floral,Medium,Light,Full caffeine,5.0,Yes,Yes,Intermediate,2,$40-$60,3.0,50.0,$15-$20,$6-$8,No,$50-$100,Yes,0,Coffee A,Coffee A,Coffee A
vNx8vQ,25-34 years old,Female,Bachelor's degree,Employed full-time,,I primarily work in person,1,"At home, At the office",Pour over,,Mocha,Sweet,Medium,Light,Full caffeine,1.0,Yes,Yes,Beginner,1,$20-$40,2.0,30.0,$8-$10,$8-$10,Yes,$50-$100,Yes,0,Coffee B,Coffee A,Coffee B
LdM4yj,45-54 years old,,,,,,2,At home,"Espresso, French press, Coffee brewing machine (e.g. Mr. Coffee), Pour over",,Cappuccino,Nutty,Somewhat strong,Medium,Full caffeine,7.0,,,Advanced,3,,,,,,,,,0,Coffee C,Coffee D,Coffee D
qbE8k9,35-44 years old,Male,Master's degree,Employed full-time,,I do a mix of both,2,"At home, On the go, At the office",Pour over,Specialty coffee shop,Pourover,Fruity,Medium,Light,Full caffeine,8.0,Yes,Yes,Advanced,3,$40-$60,3.0,50.0,$6-$8,$6-$8,,$300-$500,Yes,0,Coffee A,Coffee D,Coffee D
qbE8v9,25-34 years old,Male,Bachelor's degree,Employed full-time,1,I do a mix of both,1,"At the office, At home",Espresso,,Americano,Caramalized,Somewhat strong,Dark,Half caff,7.0,Yes,Yes,Advanced,3,$20-$40,2.0,30.0,$2-$4,$6-$8,No,$300-$500,Yes,0,Coffee A,Coffee D,Coffee D
dY2J8d,45-54 years old,Male,Master's degree,Employed full-time,,I primarily work from home,3,At home,Espresso,,Cortado,Fruity,Very strong,Light,Full caffeine,6.0,Yes,Yes,Intermediate,2,,,,$10-$15,More than $20,Yes,"More than $1,000",Yes,0,Coffee A,Coffee D,Coffee D
jB98Yx,35-44 years old,Female,Master's degree,Employed full-time,2,I primarily work in person,Less than 1,On the go,,"National chain (e.g. Starbucks, Dunkin)",Mocha,Chocolatey,Weak,Light,Half caff,1.0,No,Yes,Beginner,1,<$20,1.0,10.0,$4-$6,$4-$6,Yes,$50-$100,Yes,0,Coffee A,Coffee A,Coffee A
rlr8gN,25-34 years old,Male,Doctorate or professional degree,Employed full-time,,I primarily work in person,1,"At home, At the office",Coffee brewing machine (e.g. Mr. Coffee),,Regular drip coffee,Nutty,Medium,Medium,Full caffeine,6.0,Yes,Yes,Intermediate,2,$80-$100,5.0,90.0,More than $20,More than $20,Yes,$500-$1000,Yes,0,Coffee C,Coffee D,Coffee C
XeB6Ng,45-54 years old,Male,Bachelor's degree,Unemployed,2,I primarily work from home,2,At home,"Espresso, French press",,Latte,Nutty,Medium,Medium,Full caffeine,4.0,Yes,Yes,Intermediate,2,$20-$40,2.0,30.0,$6-$8,$6-$8,No,"More than $1,000",Yes,0,Coffee C,Coffee A,Coffee C
OABx97,45-54 years old,Female,Some college or associate's degree,Employed full-time,2,I do a mix of both,3,"At home, At a cafe","Pod/capsule machine (e.g. Keurig/Nespresso), Pour over",,Pourover,Chocolatey,Medium,Medium,Full caffeine,5.0,Yes,Yes,Intermediate,2,$40-$60,3.0,50.0,$8-$10,$8-$10,Yes,$500-$1000,Yes,0,Coffee A,Coffee A,Coffee A
42NlEX,25-34 years old,Male,Bachelor's degree,Employed full-time,,I do a mix of both,1,"At home, At a cafe","Pour over, French press",,Cortado,Sweet,Somewhat strong,Light,Full caffeine,7.0,Yes,Yes,Advanced,3,$40-$60,3.0,50.0,$4-$6,$6-$8,Yes,$100-$300,Yes,0,Coffee A,Coffee D,Coffee D
LdM4al,25-34 years old,Male,Bachelor's degree,Employed full-time,,I do a mix of both,2,At the office,,,Pourover,Juicy,Medium,Medium,Full caffeine,5.0,Yes,Yes,Intermediate,2,$20-$40,2.0,30.0,$6-$8,$10-$15,No,$100-$300,Yes,0,Coffee A,Coffee A,Coffee A
ZdRbDB,18-24 years old,Male,High school graduate,Employed full-time,,I primarily work from home,1,At home,"Espresso, Pour over",,Pourover,Sweet,Medium,Medium,Full caffeine,3.0,Yes,Yes,Beginner,1,$20-$40,2.0,30.0,$2-$4,$6-$8,No,"More than $1,000",Yes,0,Coffee A,Coffee A,Coffee A
6dQ6Vk,25-34 years old,Male,Master's degree,Employed full-time,,I primarily work from home,2,"At home, At a cafe, On the go, At the office","Pour over, Other",Local cafe,Americano,Fruity,Somewhat strong,Light,Full caffeine,6.0,Yes,Yes,Intermediate,2,$40-$60,3.0,50.0,$4-$6,$6-$8,No,$100-$300,Yes,0,Coffee B,Coffee D,Coffee B
8dpbVx,18-24 years old,Male,Doctorate or professional degree,Student,,I do a mix of both,1,At home,"Espresso, Pour over, Coffee brewing machine (e.g. Mr. Coffee), Cold brew",,Cappuccino,Nutty,Medium,Medium,Full caffeine,7.0,Yes,No,Advanced,3,$20-$40,2.0,30.0,$6-$8,$6-$8,No,$500-$1000,Yes,0,Coffee B,Coffee A,Coffee D
6dQ65P,>65 years old,Prefer not to say,Master's degree,,,I primarily work from home,2,At home,Coffee brewing machine (e.g. Mr. Coffee),,Regular drip coffee,Bold,Somewhat strong,Dark,Full caffeine,4.0,Yes,Yes,Intermediate,2,,,,$4-$6,$4-$6,Yes,$300-$500,Yes,0,Coffee C,Coffee A,Coffee C
1r2Q6l,35-44 years old,Male,Bachelor's degree,Employed full-time,,I primarily work from home,3,At home,Pour over,,Pourover,Fruity,Somewhat strong,Medium,Full caffeine,8.0,Yes,Yes,Advanced,3,<$20,1.0,10.0,$4-$6,$6-$8,Yes,$100-$300,Yes,0,Coffee C,Coffee A,Coffee C
7d97MR,18-24 years old,Male,Bachelor's degree,Employed full-time,,I primarily work from home,Less than 1,"At home, On the go",Coffee brewing machine (e.g. Mr. Coffee),"National chain (e.g. Starbucks, Dunkin), Drive-thru",Iced coffee,Sweet,Medium,Light,Full caffeine,6.0,Yes,No,Intermediate,2,$20-$40,2.0,30.0,$6-$8,$6-$8,No,$100-$300,Yes,0,Coffee A,Coffee A,Coffee A
ylq8GB,25-34 years old,Male,Bachelor's degree,Employed full-time,,I primarily work from home,1,"At a cafe, At home","Espresso, French press",,Latte,Chocolatey,Somewhat strong,Medium,Full caffeine,3.0,Yes,Yes,Beginner,1,<$20,1.0,10.0,$10-$15,$10-$15,Yes,$500-$1000,Yes,0,Coffee C,Coffee D,Coffee C
kYR8p1,35-44 years old,Male,Doctorate or professional degree,Employed full-time,2,I primarily work in person,2,"At home, At the office",Espresso,,Cappuccino,Fruity,Somewhat strong,Light,Full caffeine,7.0,Yes,Yes,Advanced,3,$60-$80,4.0,70.0,$10-$15,$15-$20,No,"More than $1,000",Yes,1,Coffee B,Coffee D,Coffee D
8dpbgx,18-24 years old,Male,Bachelor's degree,Employed full-time,,I do a mix of both,2,"At home, At the office","Pour over, Espresso",,Espresso,Chocolatey,Somewhat strong,Medium,Full caffeine,5.0,Yes,No,Intermediate,2,$40-$60,3.0,50.0,$4-$6,$4-$6,Yes,$500-$1000,Yes,0,Coffee A,Coffee D,Coffee D
VZ1Wqg,25-34 years old,Female,Bachelor's degree,Employed full-time,,I primarily work from home,2,"At home, At a cafe",Pour over,,Cappuccino,Fruity,Medium,Light,Full caffeine,7.0,Yes,Yes,Advanced,3,$20-$40,2.0,30.0,$6-$8,$8-$10,Yes,$100-$300,Yes,0,Coffee A,Coffee D,Coffee D
WApaBa,35-44 years old,Female,Doctorate or professional degree,Employed full-time,,I primarily work in person,2,"At home, At a cafe","Pour over, Coffee extract (e.g. Cometeer)",,Latte,Nutty,Medium,Light,Full caffeine,5.0,Yes,Yes,Intermediate,2,$40-$60,3.0,50.0,$8-$10,More than $20,Yes,$50-$100,Yes,0,Coffee A,Coffee A,Coffee A
dY2J1q,35-44 years old,Male,High school graduate,Employed full-time,3,I primarily work in person,2,At home,"Pour over, French press, Coffee brewing machine (e.g. Mr. Coffee)",,Pourover,Juicy,Somewhat strong,Light,Full caffeine,6.0,Yes,Yes,Intermediate,2,$20-$40,2.0,30.0,$6-$8,$8-$10,No,$500-$1000,Yes,0,Coffee C,Coffee A,Coffee C
vNx8W0,25-34 years old,Male,Master's degree,Employed full-time,,I primarily work from home,1,"At home, At a cafe",Pour over,,Espresso,Bright,Somewhat strong,Light,Full caffeine,8.0,Yes,Yes,Advanced,3,$40-$60,3.0,50.0,$10-$15,More than $20,No,$50-$100,Yes,0,Coffee A,Coffee D,Coffee D
5dqaOo,35-44 years old,Male,,,,I primarily work from home,2,At a cafe,,,Americano,Chocolatey,Medium,Light,Full caffeine,7.0,Yes,Yes,Advanced,3,$60-$80,4.0,70.0,$6-$8,$4-$6,Yes,$500-$1000,Yes,1,Coffee B,Coffee A,Coffee B
QABNWp,25-34 years old,Female,Bachelor's degree,Employed full-time,,I primarily work in person,Less than 1,At home,Espresso,,Latte,Full Bodied,Somewhat strong,Medium,Half caff,6.0,Yes,Yes,Intermediate,2,<$20,1.0,10.0,$6-$8,$6-$8,No,$50-$100,Yes,0,Coffee C,Coffee D,Coffee C
ZdRbQo,35-44 years old,Male,Bachelor's degree,Employed full-time,,I primarily work from home,1,"At home, At the office","French press, Other",,Americano,Bold,Somewhat strong,Medium,Full caffeine,7.0,Yes,No,Advanced,3,$40-$60,3.0,50.0,$6-$8,$8-$10,Yes,$300-$500,Yes,0,Coffee C,Coffee D,Coffee C
NAB2yB,55-64 years old,Male,Some college or associate's degree,Employed full-time,2,I primarily work in person,2,At the office,,,Cold brew,Bold,Very strong,Medium,Full caffeine,5.0,Yes,Yes,Intermediate,2,>$100,6.0,110.0,$15-$20,More than $20,Yes,$300-$500,Yes,0,Coffee C,Coffee D,Coffee D
oAV81e,18-24 years old,Male,Some college or associate's degree,Student,,I primarily work from home,2,At home,"Espresso, Pour over, Cold brew",,Espresso,Floral,Medium,Light,Full caffeine,8.0,Yes,Yes,Advanced,3,$40-$60,3.0,50.0,$6-$8,More than $20,Yes,"More than $1,000",Yes,0,Coffee A,Coffee D,Coffee D
PABZYx,35-44 years old,Female,Bachelor's degree,Employed full-time,,I do a mix of both,2,"At a cafe, At home, At the office","Pour over, Cold brew, Coffee extract (e.g. Cometeer)",,Latte,Juicy,Somewhat strong,Light,Full caffeine,6.0,Yes,Yes,Intermediate,2,$20-$40,2.0,30.0,$8-$10,$15-$20,Yes,$300-$500,Yes,0,Coffee A,Coffee D,Coffee D
PABZWb,25-34 years old,Female,Bachelor's degree,Employed full-time,,I primarily work from home,1,At home,Pod/capsule machine (e.g. Keurig/Nespresso),,Regular drip coffee,Sweet,Medium,Medium,Full caffeine,6.0,Yes,No,Intermediate,2,$20-$40,2.0,30.0,$4-$6,$6-$8,No,$100-$300,Yes,0,Coffee B,Coffee D,Coffee B
XeB6v4,18-24 years old,Male,Some college or associate's degree,Employed part-time,,I primarily work in person,More than 4,At home,"Instant coffee, Coffee brewing machine (e.g. Mr. Coffee), Pour over, Cold brew",,Regular drip coffee,Chocolatey,Medium,Medium,Full caffeine,7.0,Yes,No,Advanced,3,$20-$40,2.0,30.0,$4-$6,$8-$10,Yes,$100-$300,Yes,0,Coffee C,Coffee A,Coffee C
9dJAxQ,25-34 years old,Male,Master's degree,Employed part-time,,I primarily work from home,2,At home,Other,,Pourover,Full Bodied,Medium,Medium,Full caffeine,7.0,Yes,Yes,Advanced,3,$40-$60,3.0,50.0,$6-$8,$15-$20,No,$300-$500,Yes,0,Coffee C,Coffee A,Coffee C
DVvRE5,<18 years old,Female,High school graduate,Student,,I do a mix of both,2,"At home, At a cafe","Coffee brewing machine (e.g. Mr. Coffee), Instant coffee, Cold brew, Pour over",,Latte,Chocolatey,Medium,Medium,Full caffeine,7.0,Yes,No,Advanced,3,$40-$60,3.0,50.0,$4-$6,$8-$10,Yes,$100-$300,Yes,0,Coffee C,Coffee A,Coffee C
lNl87X,25-34 years old,Female,Bachelor's degree,Employed part-time,,I do a mix of both,1,"At home, On the go","French press, Pod/capsule machine (e.g. Keurig/Nespresso), Pour over","Specialty coffee shop, National chain (e.g. Starbucks, Dunkin)",Latte,Chocolatey,Somewhat strong,Medium,Full caffeine,4.0,Yes,Yes,Intermediate,2,$20-$40,2.0,30.0,$8-$10,$10-$15,No,$300-$500,Yes,0,Coffee C,Coffee A,Coffee A
eBxgye,25-34 years old,Female,Bachelor's degree,Homemaker,2,I primarily work from home,1,At home,Coffee brewing machine (e.g. Mr. Coffee),,Latte,Bold,Medium,Light,Full caffeine,2.0,Yes,Yes,Beginner,1,$20-$40,2.0,30.0,$4-$6,$6-$8,No,Less than $20,Yes,0,Coffee B,Coffee D,Coffee B
aBrpgq,25-34 years old,Female,Bachelor's degree,Employed full-time,,I do a mix of both,1,"At the office, At home",Bean-to-cup machine,,Cappuccino,Bold,Somewhat strong,Medium,Full caffeine,4.0,Yes,Yes,Intermediate,2,$20-$40,2.0,30.0,$10-$15,$15-$20,No,$100-$300,Yes,0,Coffee C,Coffee D,Coffee C
OABxrR,25-34 years old,Male,Doctorate or professional degree,Employed full-time,1,I do a mix of both,3,"At home, At the office",Pour over,,Iced coffee,Chocolatey,Somewhat strong,Medium,Full caffeine,6.0,Yes,Yes,Intermediate,2,$40-$60,3.0,50.0,$4-$6,$4-$6,No,$100-$300,Yes,0,Coffee C,Coffee D,Coffee A
WApajv,35-44 years old,,,,,,3,At home,"Espresso, Pour over",,Latte,Fruity,Somewhat strong,Light,Full caffeine,5.0,,,Intermediate,2,,,,,,,,,0,,,
1r2QxQ,25-34 years old,Male,High school graduate,Employed full-time,1,I primarily work from home,1,"At home, At the office","Pour over, French press, Other",,Regular drip coffee,Bright,Somewhat strong,Medium,Full caffeine,6.0,Yes,Yes,Intermediate,2,$40-$60,3.0,50.0,$6-$8,$8-$10,Yes,$100-$300,Yes,0,Coffee B,Coffee D,Coffee D
AlbM9z,25-34 years old,Male,Bachelor's degree,Employed full-time,,I do a mix of both,3,"At home, At the office, At a cafe","Espresso, Pour over",,Pourover,Fruity,Somewhat strong,Light,Full caffeine,9.0,Yes,Yes,Expert,4,$40-$60,3.0,50.0,$8-$10,$8-$10,No,$100-$300,No,0,Coffee A,Coffee D,Coffee C
8dpbWO,25-34 years old,Female,Master's degree,Employed full-time,,I do a mix of both,1,"At the office, At home, On the go, At a cafe","Pour over, Espresso","Specialty coffee shop, Local cafe",Espresso,Fruity,Medium,Light,Full caffeine,5.0,Yes,Yes,Intermediate,2,$40-$60,3.0,50.0,More than $20,More than $20,No,Less than $20,Yes,0,Coffee A,Coffee A,Coffee B
7d97zA,18-24 years old,Female,Bachelor's degree,Employed part-time,,I do a mix of both,1,At home,Pour over,,Latte,Juicy,Medium,Light,Full caffeine,6.0,Yes,Yes,Intermediate,2,$20-$40,2.0,30.0,$8-$10,$15-$20,No,$300-$500,Yes,0,Coffee A,Coffee D,Coffee D
24x9zV,18-24 years old,Non-binary,Bachelor's degree,Student,,I primarily work in person,2,At home,Espresso,,Espresso,Bold,Very strong,Dark,Full caffeine,4.0,Yes,Yes,Intermediate,2,<$20,1.0,10.0,$6-$8,$4-$6,No,$20-$50,Yes,0,Coffee C,Coffee A,Coffee D
VZ1W9j,25-34 years old,,,,,,2,"At home, At the office",Pour over,,Cold brew,Bright,Somewhat strong,Medium,Full caffeine,2.0,,,Beginner,1,,,,,,,,,0,Coffee B,Coffee D,Coffee B
rlr8YN,25-34 years old,Male,Doctorate or professional degree,Unemployed,,I primarily work from home,2,"At home, At the office","Pour over, French press",,Latte,Fruity,Medium,Light,Full caffeine,8.0,Yes,Yes,Advanced,3,$40-$60,3.0,50.0,$8-$10,$10-$15,Yes,$300-$500,Yes,0,Coffee A,Coffee A,Coffee A
xdN80d,25-34 years old,Male,Some college or associate's degree,Employed full-time,,I primarily work from home,2,"At home, At a cafe","Pour over, French press, Espresso, Cold brew",,Pourover,Floral,Medium,Light,Full caffeine,7.0,Yes,Yes,Advanced,3,$40-$60,3.0,50.0,$6-$8,$10-$15,Yes,"More than $1,000",Yes,0,Coffee A,Coffee A,Coffee A
1r2QgW,55-64 years old,Male,Bachelor's degree,Employed full-time,2,I primarily work from home,3,At home,Espresso,,Latte,Chocolatey,Somewhat strong,Medium,Full caffeine,7.0,Yes,Yes,Advanced,3,$20-$40,2.0,30.0,$4-$6,$4-$6,No,"More than $1,000",Yes,0,Coffee B,Coffee D,Coffee D
EPbo64,25-34 years old,Prefer not to say,,,,I primarily work from home,2,At home,"Coffee extract (e.g. Cometeer), Pod/capsule machine (e.g. Keurig/Nespresso), Bean-to-cup machine",,Cold brew,Nutty,Medium,Medium,Full caffeine,6.0,Yes,Yes,Intermediate,2,$60-$80,4.0,70.0,$8-$10,$6-$8,No,"More than $1,000",Yes,0,Coffee C,Coffee D,Coffee B
qbE877,35-44 years old,Male,Some college or associate's degree,Employed full-time,2,I primarily work in person,3,At home,"Pour over, French press, Espresso, Other",,Pourover,Fruity,Medium,Light,Full caffeine,2.0,Yes,Yes,Beginner,1,$40-$60,3.0,50.0,$10-$15,$8-$10,No,$300-$500,Yes,0,Coffee B,Coffee A,Coffee B
KMBrGV,35-44 years old,Female,Bachelor's degree,Employed full-time,,I do a mix of both,2,"At home, At the office","Espresso, Coffee extract (e.g. Cometeer)",,Latte,Fruity,Somewhat strong,Light,Full caffeine,8.0,Yes,Yes,Advanced,3,$40-$60,3.0,50.0,$8-$10,$6-$8,No,"More than $1,000",No,0,Coffee C,Coffee D,Coffee A
6dQ6WY,35-44 years old,Non-binary,Bachelor's degree,Employed full-time,,I primarily work from home,2,"At home, On the go, At a cafe",Pour over,"Local cafe, Specialty coffee shop, National chain (e.g. Starbucks, Dunkin)",Cappuccino,Caramalized,Somewhat strong,Dark,Full caffeine,5.0,Yes,No,Intermediate,2,>$100,6.0,110.0,$10-$15,More than $20,Yes,$100-$300,Yes,0,Coffee C,Coffee A,Coffee C
EPboA4,45-54 years old,Male,Bachelor's degree,Employed full-time,,I primarily work in person,1,At home,Espresso,,Cappuccino,Caramalized,Medium,Medium,Full caffeine,5.0,Yes,Yes,Intermediate,2,<$20,1.0,10.0,$4-$6,$6-$8,No,$300-$500,Yes,0,Coffee A,Coffee A,Coffee A
PABZy5,25-34 years old,Female,Bachelor's degree,Employed full-time,,I primarily work from home,1,At home,Other,,Latte,Nutty,Medium,Medium,Full caffeine,3.0,Yes,No,Beginner,1,$20-$40,2.0,30.0,$8-$10,$10-$15,,,,0,Coffee C,Coffee A,Coffee C
ZdRbgz,25-34 years old,Male,Bachelor's degree,Employed full-time,,I primarily work in person,1,At the office,,,Latte,Caramalized,Very strong,Medium,Full caffeine,7.0,Yes,Yes,Advanced,3,$20-$40,2.0,30.0,$8-$10,$10-$15,No,"More than $1,000",Yes,0,Coffee B,Coffee A,Coffee B
EPbo6r,25-34 years old,Male,Bachelor's degree,Employed full-time,,I primarily work from home,1,At home,Bean-to-cup machine,,Cortado,Full Bodied,Very strong,Blonde,Full caffeine,5.0,Yes,Yes,Intermediate,2,$40-$60,3.0,50.0,$8-$10,$8-$10,Yes,$50-$100,Yes,0,Coffee C,Coffee D,Coffee D
6dQ6zB,35-44 years old,Male,Master's degree,Employed full-time,,I primarily work from home,2,At home,Espresso,,Iced coffee,Nutty,Somewhat strong,Dark,Full caffeine,6.0,Yes,Yes,Intermediate,2,$40-$60,3.0,50.0,$4-$6,$4-$6,No,$500-$1000,Yes,0,Coffee C,Coffee D,Coffee C
LdM4Ey,25-34 years old,Male,Master's degree,Employed full-time,1,I primarily work from home,3,"At home, At a cafe, At the office","Pour over, Coffee brewing machine (e.g. Mr. Coffee)",,Regular drip coffee,Floral,Somewhat strong,Medium,Full caffeine,8.0,Yes,Yes,Advanced,3,$40-$60,3.0,50.0,$4-$6,$6-$8,No,$100-$300,Yes,0,Coffee A,Coffee D,Coffee D
ylq8gg,35-44 years old,Male,Bachelor's degree,Unemployed,2,I primarily work from home,1,At home,"Pour over, Coffee brewing machine (e.g. Mr. Coffee), Bean-to-cup machine",,Pourover,Sweet,Medium,Medium,Full caffeine,4.0,Yes,Yes,Intermediate,2,$20-$40,2.0,30.0,$4-$6,$4-$6,No,$500-$1000,Yes,0,Coffee A,Coffee A,Coffee A
42NlOY,25-34 years old,Male,Master's degree,Employed full-time,,I primarily work from home,2,"At home, At a cafe","Pour over, French press, Espresso",,Americano,Full Bodied,Somewhat strong,Medium,Half caff,8.0,Yes,Yes,Advanced,3,$20-$40,2.0,30.0,$8-$10,$10-$15,Yes,$500-$1000,No,0,Coffee C,Coffee A,Coffee C
MAdjPM,25-34 years old,Male,Master's degree,Employed full-time,,I primarily work from home,2,At home,"Pour over, Espresso",,Espresso,Fruity,Medium,Nordic,Full caffeine,7.0,Yes,Yes,Advanced,3,$60-$80,4.0,70.0,$15-$20,More than $20,Yes,"More than $1,000",Yes,1,Coffee C,Coffee A,Coffee C
8dpb5O,55-64 years old,Male,Some college or associate's degree,Retired,1,I primarily work from home,4,At home,"Other, Espresso",,Cortado,Fruity,Medium,Medium,Full caffeine,7.0,Yes,Yes,Advanced,3,$60-$80,4.0,70.0,$6-$8,$15-$20,No,"More than $1,000",Yes,1,Coffee A,Coffee D,Coffee D
1r2QRl,25-34 years old,Male,Bachelor's degree,Employed full-time,,I primarily work from home,2,"At home, At the office, On the go, At a cafe","Pour over, Espresso, Cold brew","Specialty coffee shop, National chain (e.g. Starbucks, Dunkin)",Pourover,Fruity,Somewhat strong,Light,Full caffeine,7.0,Yes,Yes,Advanced,3,<$20,1.0,10.0,$6-$8,$6-$8,No,$100-$300,Yes,0,Coffee A,Coffee D,Coffee D
jB985Q,45-54 years old,Female,Some college or associate's degree,Employed full-time,,I primarily work in person,2,At home,Espresso,,Americano,Bold,Medium,Medium,Full caffeine,5.0,Yes,Yes,Intermediate,2,>$100,6.0,110.0,$6-$8,$6-$8,Yes,"More than $1,000",Yes,0,Coffee B,Coffee A,Coffee B
J2kEBo,55-64 years old,Male,Bachelor's degree,Employed full-time,More than 3,I do a mix of both,2,At home,Instant coffee,,Latte,Chocolatey,Somewhat strong,Medium,Full caffeine,4.0,Yes,No,Intermediate,2,<$20,1.0,10.0,$4-$6,$4-$6,No,$20-$50,No,0,Coffee A,Coffee A,Coffee A
eBxgvk,55-64 years old,Female,Master's degree,Employed part-time,2,I primarily work from home,2,"At home, At a cafe","Pour over, Coffee brewing machine (e.g. Mr. Coffee)",,Pourover,Full Bodied,Somewhat strong,Medium,Full caffeine,2.0,Yes,No,Beginner,1,$60-$80,4.0,70.0,$4-$6,$4-$6,Yes,$100-$300,Yes,0,Coffee B,Coffee D,Coffee B
7d97jZ,25-34 years old,Male,Some college or associate's degree,Employed full-time,,I primarily work in person,2,"On the go, At a cafe",,"Local cafe, Specialty coffee shop",Latte,Caramalized,Somewhat strong,Medium,Full caffeine,5.0,Yes,Yes,Intermediate,2,$20-$40,2.0,30.0,$10-$15,More than $20,Yes,$500-$1000,Yes,0,Coffee C,Coffee D,Coffee D
dY2JzK,35-44 years old,Male,Master's degree,Employed full-time,,I primarily work from home,1,"At home, On the go",Pour over,Specialty coffee shop,Pourover,Juicy,Somewhat strong,Light,Full caffeine,8.0,Yes,Yes,Advanced,3,$40-$60,3.0,50.0,More than $20,More than $20,Yes,$300-$500,Yes,0,Coffee A,Coffee D,Coffee D
